Province,County,District,Year,Month,0-11 Under-WT,0-11 Totals,12-35 Under-WT,12-35 Totals,36-59 Under- WT,36-59 Totals,TOTAL UNDER-WEIGHTS,Grand Total Weighings,KWAR,MAR,OTHERS,CONSTANT /FALTERING ,Malnourished,NEW child clinic records,Total Clinc Att,%Kwash,%Mar,%Others,% UNDERWEIGHT,NO.REPORTED,TOTAL NO. OF H. FACILITIES,REPORTING RATE%,DATE RECEIVED,AGE GROUP,POP,GMP TARGETS,%TARGETS,POP.PROJECTION
Coast,Kilifi,Kilifi,2002,January,1339,10316,923,2398,151,773,2413,13487,28,30,60,136,254,,16933,0.2%,0.2%,0.4%,17.9,,,,,,,,,
Coast,Kilifi,Kilifi,2002,February,1349,9755,798,2034,162,722,2309,12511,71,54,25,113,263,,15675,0.5%,0.3%,0.2%,18.5,,,,,,,,,
Coast,Kilifi,Kilifi,2002,March,1437,10210,577,1895,45,242,2059,12347,37,13,24,83,157,,15143,0.2%,0.1%,0.2%,16.7,,,,,,,,,
Coast,Kilifi,Kilifi,2002,April,1843,11028,673,2626,79,404,2595,14058,49,28,28,204,309,,16524,0.3%,0.2%,0.2%,18.5,,,,,,,,,
Coast,Kilifi,Kilifi,2002,May,1673,10663,824,2679,109,471,2606,13813,18,83,45,125,271,,16237,0.1%,0.5%,0.3%,18.9,,,,,,,,,
Coast,Kilifi,Kilifi,2002,June,1182,9265,583,2255,119,988,1884,12508,25,24,39,123,211,,14829,0.2%,0.2%,0.3%,15.1,,,,,,,,,
Coast,Kilifi,Kilifi,2002,July,1860,11302,478,2364,108,648,2446,14314,44,33,42,163,282,,16994,0.3%,0.2%,0.2%,17.1,,,,,,,,,
Coast,Kilifi,Kilifi,2002,August,1605,11993,601,2850,64,551,2270,15394,40,39,79,138,296,,17388,0.2%,0.2%,0.5%,14.7,,,,,,,,,
Coast,Kilifi,Kilifi,2002,September,1227,11060,503,2227,71,559,1801,13846,30,18,48,108,204,,17064,0.2%,0.1%,0.3%,13.0,,,,,,,,,
Coast,Kilifi,Kilifi,2002,October,1381,11749,507,2253,88,644,1976,14646,20,37,60,180,297,,16429,0.1%,0.2%,0.4%,13.5,,,,,,,,,
Coast,Kilifi,Kilifi,2002,November,935,9945,566,2629,86,806,1587,13380,25,13,47,101,186,,14595,0.2%,0.1%,0.3%,11.9,,,,,,,,,
