YEAR,COUNTY,LOC CODE,District, Surviving Infants (2001) , BCG_1 , % , DPT1_1 , % , DPT2_1 , % , DPT3_1 , DPT3% , OPV0_1 , % , OPV1_1 , % , OPV2_1 , % , OPV3_1 , % , MEAS_1 , % , FIC_1 , % ,
2001,Kilifi,301,Kilifi," 23,551 ",22143, 94 ,20237, 86 ,19349, 82 ,17987, 76 ,13318, 57 ,19814, 84 ,19099, 81 ,17413, 74 ,16418, 70 ,15526, 66 ,
2001,Kilifi,307,Malindi," 12,646 ",13145, 104 ,12830, 101 ,11857, 94 ,10407, 82 ,9288, 73 ,12234, 97 ,11517, 91 ,10275, 81 ,8979, 71 ,7917, 63 ,
2001,Kwale,302,Kwale," 22,282 ",20882, 94 ,19161, 86 ,19585, 88 ,18156, 81 ,12556, 56 ,17965, 81 ,19034, 85 ,18147, 81 ,15051, 68 ,12414, 56 ,
2001,Kitui,410,Mwingi," 13,477 ",7586, 56 ,7294, 54 ,7335, 54 ,6851, 51 ,4859, 36 ,7335, 54 ,7196, 53 ,6681, 50 ,4940, 37 ,3352, 25 ,
2001,Kitui,403,Kitui," 23,006 ",18043, 78 ,15975, 69 ,15327, 67 ,13650, 59 ,11643, 51 ,15578, 68 ,14634, 64 ,13555, 59 ,11101, 48 ,4969, 22 ,
2001,Makueni,407,Makueni," 30,861 ",17058, 55 ,16932, 55 ,16934, 55 ,16465, 53 ,10905, 35 ,16401, 53 ,16645, 54 ,16072, 52 ,14666, 48 ,13047, 42 ,
2001,Tharaka Nthi,413,Meru East (Tharaka)," 3,804 ",2556, 67 ,1968, 52 ,2101, 55 ,1954, 51 ,1505, 40 ,1885, 50 ,2039, 54 ,1903, 50 ,1519, 40 ,731, 19 ,
2001,Mandera,502,Mandera," 6,781 ",7538, 111 ,7745, 114 ,7201, 106 ,6515, 96 ,4969, 73 ,7576, 112 ,6899, 102 ,6209, 92 ,5096, 75 ,4975, 73 ,
2001,Samburu,804,Samburu," 6,462 ",5932, 92 ,5920, 92 ,5644, 87 ,4865, 75 ,4072, 63 ,5771, 89 ,5614, 87 ,4835, 75 ,3754, 58 ,3329, 52 ,
2001,Turkana,805,Turkana," 11,579 ",11109, 96 ,11231, 97 ,8839, 76 ,8062, 70 ,8313, 72 ,10491, 91 ,8845, 76 ,7599, 66 ,5964, 52 ,4192, 36 ,
2001,West Pokot,806,West Pokot," 15,043 ",10388, 69 ,9631, 64 ,8121, 54 ,7035, 47 ,5568, 37 ,6272, 42 ,5485, 36 ,4259, 28 ,5099, 34 ,3281, 22 ,
2002,Kilifi,301,Kilifi," 24,190 ",22073, 91 ,21510, 89 ,20615, 85 ,18880, 78 ,14703, 61 ,19922, 82 ,21356, 88 ,19301, 80 ,18191, 75 ,16923, 70 , 94 
2002,Kilifi,307,Malindi," 12,989 ",13214, 102 ,14064, 108 ,12991, 100 ,12236, 94 ,10715, 82 ,13654, 105 ,13030, 100 ,11994, 92 ,9253, 71 ,9736, 75 , 251 
2002,Kwale,302,Kwale," 22,887 ",15678, 69 ,14933, 65 ,14129, 62 ,12960, 57 ,9053, 40 ,14960, 65 ,14236, 62 ,13620, 60 ,11437, 50 ,10129, 44 , 128 
2002,Kitui,410,Mwingi," 13,842 ",10431, 75 ,11642, 84 ,11093, 80 ,9330, 67 ,7179, 52 ,10354, 75 ,10338, 75 ,9171, 66 ,6862, 50 ,4257, 31 , 95 
2002,Kitui,403,Kitui," 23,630 ",18876, 80 ,18622, 79 ,17749, 75 ,16444, 70 ,12685, 54 ,17435, 74 ,17413, 74 ,15780, 67 ,12461, 53 ,10852, 46 , 113 
2002,Makueni,407,Makueni," 31,698 ",23504, 74 ,24004, 76 ,22225, 70 ,21944, 69 ,15136, 48 ,21979, 69 ,22925, 72 ,21434, 68 ,17544, 55 ,16413, 52 , 99 
2002,Tharaka Nthi,413,Meru East (Tharaka)," 3,907 ",3045, 78 ,3299, 84 ,3080, 79 ,2655, 68 ,2415, 62 ,3087, 79 ,3008, 77 ,2613, 67 ,1699, 43 ,846, 22 , 82 
2002,Samburu,804,Samburu," 6,637 ",6338, 95 ,6129, 92 ,5941, 90 ,5010, 75 ,4345, 65 ,4986, 75 ,4815, 73 ,4033, 61 ,3001, 45 ,2744, 41 , 83 
2002,Turkana,805,Turkana," 11,893 ",12259, 103 ,11790, 99 ,11085, 93 ,9245, 78 ,9397, 79 ,12464, 105 ,11576, 97 ,10208, 86 ,8919, 75 ,8844, 74 , 36 
2002,West Pokot,806,West Pokot," 15,451 ",10664, 69 ,9507, 62 ,8466, 55 ,6883, 45 ,7345, 48 ,9068, 59 ,8408, 54 ,6834, 44 ,4477, 29 ,3647, 24 , 76 
