No.,Facility,0-11 UW,0-11 TW,12-35 UW,12-35 TW,36-59 UW,36-59 TW,Total (0-59) UW,Total (0-59) TW,Marasmus,Kwashiorkor,Anaemia,Faltering Wt,"Others eg, Vitamin A deficiency, etc (specify)",New Children Attending CWC Male,New Children Attending CWC Female,New Children Attending CWC Total,Total Children Attending CWC Male,Total Children Attending CWC Female,Total Children Attending CWC Total,Period
1,Bamba H/C,18,962,14,102,0,15,32,"1,079",0,0,0,0,0,50,47,97,585,494,"1,079",JUN
2,Bamba m. cl,0,58,0,38,0,0,0,96,0,0,3,3,0,12,14,26,42,54,96,JUN
3,Bomani Dispensary,1,246,0,46,0,0,1,292,0,0,0,0,0,19,16,35,138,154,292,JUN
4,Chasimba H/c,13,560,9,84,3,12,25,656,0,0,0,0,0,33,40,73,313,343,656,JUN
5,Chumani m. cl,6,162,1,21,1,2,8,185,1,0,0,0,0,0,11,11,100,85,185,JUN
6,Dida Disp,21,271,53,235,5,31,79,537,0,0,0,0,0,12,21,33,260,277,537,JUN
7,Dzikundze Disp.,5,758,8,369,5,157,18,"1,284",0,0,0,0,0,31,14,45,623,661,"1,284",JUN
8,Ganze Disp,10,494,19,149,3,16,32,659,0,0,0,1,0,18,33,51,307,352,659,JUN
9,Gotani Disp,2,227,2,35,0,5,4,267,0,0,0,0,0,26,15,41,136,131,267,JUN
10,Jaribuni Disp,12,434,6,165,0,40,18,639,0,0,0,18,0,24,22,46,370,269,639,JUN
11,Jibana H/C,18,444,21,78,0,2,39,524,0,0,3,17,0,38,24,62,267,257,524,JUN
12,Junju Disp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JUN
13,Kadzinuni disp,4,145,0,58,1,16,5,219,0,0,0,0,0,3,4,7,101,118,219,JUN
14,Kanamai Health Service,3,61,0,3,0,0,3,64,0,0,0,0,0,23,19,42,27,37,64,JUN
15,Kilifi D. Hospital,87,"2,374",70,543,12,32,169,"2,949",2,5,0,4,0,164,156,320,"1,467","1,482","2,949",JUN
16,Kinarani disp,5,269,0,2,0,0,5,271,0,0,0,0,0,11,18,29,155,116,271,JUN
17,Kizingo Disp,16,512,26,126,17,119,59,757,1,0,0,0,0,15,13,28,367,390,757,JUN
18,Kombeni Disp,15,412,16,146,0,11,31,569,0,1,0,0,0,20,16,36,261,308,569,JUN
19,Lenga Disp,2,188,5,106,0,17,7,311,0,0,0,0,0,13,11,24,140,171,311,JUN
20,Maamba m. cl,2,73,1,15,0,0,3,88,0,0,0,0,0,6,3,9,40,48,88,JUN
21,Madamani disp,14,208,35,214,15,100,64,522,0,0,0,14,0,14,10,24,260,262,522,JUN
22,Makanzani,2,393,0,71,2,38,4,502,0,0,2,5,0,10,6,16,240,262,502,JUN
23,Mariakani S.D. Hospital,14,"1,247",10,353,1,67,25,"1,667",0,0,0,0,0,96,112,208,800,867,"1,667",JUN
24,Matsangoni Disp,2,479,13,226,6,57,21,762,0,3,1,0,0,0,0,0,397,365,762,JUN
25,Mgamboni Disp,3,100,0,24,0,5,3,129,0,0,0,0,0,10,10,20,61,68,129,JUN
26,Mirihini Disp,12,209,10,73,2,23,24,305,0,0,0,0,0,23,17,40,171,134,305,JUN
