Region,Year,Rainfall (mm),Temperature (Celsius),Drought (Inverse PDSI),NDVI
Central,1993,1296,17.0,1.4,0.60
Central,1998,1744,17.5,-0.3,0.64
Central,2003,1574,18.1,-2.5,0.63
Central,2008,1268,17.4,-2.4,0.63
Coast,1993,695,26.1,1.4,0.46
Coast,1998,1331,25.4,-0.2,0.49
Coast,2003,1018,26.6,-0.2,0.49
Coast,2008,788,26.4,-1.2,0.49
Eastern,1993,873,21.6,1.4,0.50
Eastern,1998,1714,21.1,-0.3,0.55
Eastern,2003,1043,23.8,-2.0,0.51
Eastern,2008,824,23.3,-2.2,0.51
Nairobi,1993,1001,18.6,1.4,0.46
Nairobi,1998,1088,19.1,-0.3,0.47
Nairobi,2003,1117,19.9,-2.5,0.43
Nairobi,2008,891,19.4,-2.4,0.43
North Eastern,2003,493,27.8,-2.5,0.39
North Eastern,2008,464,27.6,-2.4,0.39
Nyanzs,1993,1233,21.3,1.8,0.60
Nyanzs,1998,1781,21.6,0.5,0.64
Nyanzs,2003,1547,22.8,-0.1,0.63
Nyanzs,2008,1565,22.3,-1.2,0.63
Rift valley,1993,1045,18.7,1.9,0.58
Rift valley,1998,1230,19.3,-0.2,0.62
Rift valley,2003,1102,20.8,-0.3,0.59
Rift valley,2008,1250,20.1,-1.1,0.59
Western,1993,1407,21.1,4.3,0.67
Western,1998,1574,21.7,-0.9,0.68
Western,2003,1548,22.6,-0.7,0.68
Western,2008,1746,22.3,-1.4,0.67
