Region,Year,Drought (Inverse PDSI)
Central,1993,1.4
Central,1998,-0.3
Central,2003,-2.5
Central,2008,-2.4
Coast,1993,1.4
Coast,1998,-0.2
Coast,2003,-0.2
Coast,2008,-1.2
Eastern,1993,1.4
Eastern,1998,-0.3
Eastern,2003,-2
Eastern,2008,-2.2
Nairobi,1993,1.4
Nairobi,1998,-0.3
Nairobi,2003,-2.5
Nairobi,2008,-2.4
North Eastern,2003,-2.5
North Eastern,2008,-2.4
Nyanzs,1993,1.8
Nyanzs,1998,0.5
Nyanzs,2003,-0.1
Nyanzs,2008,-1.2
Rift valley,1993,1.9
Rift valley,1998,-0.2
Rift valley,2003,-0.3
Rift valley,2008,-1.1
Western,1993,4.3
Western,1998,-0.9
Western,2003,-0.7
Western,2008,-1.4
