Month,DISEASES,THARAKA DIST HOSP,RUUNGU DISP MISSION,NKONDI DISP GOK,JOSAN DISP PRIVATE,GATUNGA DISP MISSION,KANYURU DISP GOK,SUB-TOTAL,KATHANGACINI DISP,MUKOTHIMA HC MISSION,KAGENI DISP PRIVATE,THANANTU DISP NGO,SUB-TOTAL,CHIAKARIGA HC GOK,ST ORSOLA HOSP MISSION,TUNYAI DISP GOK,MATERI GIRLS DISP MISSION,KAMANYAKI DISP GOK,SUB-TOTAL,GRAND TOTAL
January,Diarhoheal Diseases,21,1,214,7,10,0,253,40,5,9,3,57,78,32,16,8,12,146,456
January,Tuberculosis,0,0,0,0,0,0,0,0,0,0,0,0,,8,,,,8,8
January,Leprosy,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0
January,Whoopng Cough,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0
January,Meningitis,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0
January,Tetenus,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0
January,Poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0
January,chicken Pox,0,0,4,0,0,0,4,0,0,0,0,0,1,,1,,,2,6
January,Measles,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0
January,Infections Hepatitis,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0
January,Mumps,0,0,4,0,0,0,4,0,0,0,0,0,1,1,1,,,3,7
January,Malaria,667,79,931,79,131,0,1887,485,126,166,88,865,809,461,466,215,486,2437,5189
January,Gonorrhea,0,0,0,0,0,0,0,3,0,0,0,3,1,4,,0,,5,8
January,Urinary Tract Infections,5,1,12,5,8,0,31,3,8,6,3,20,13,44,4,1,8,70,121
January,Bilharzia,0,0,0,0,0,0,0,0,11,0,0,11,,1,,0,,1,12
January,Intestinal Worms,67,11,243,12,78,,411,119,46,66,32,263,98,175,98,46,162,579,1253
January,Malnutrition,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,0
January,Anaemia,5,,1,0,0,0,6,4,3,1,,8,,35,,0,1,36,50
January,Eye Infections,23,3,11,5,8,,50,7,0,2,3,12,21,27,12,5,10,75,137
January,Cataract,0,0,0,0,0,0,0,,0,0,0,0,1,,,0,,1,1
January,ear infectins,13,4,23,5,12,,57,14,2,6,2,24,27,25,20,5,12,89,170
January,Dis. Of circulatory systems,3,0,0,0,0,0,3,0,0,0,3,3,,1,,0,,1,7
January,Dis of Respiratory systems,516,43,419,59,52,,1089,163,61,24,18,266,377,300,243,64,159,1143,2498
January,Pneumonia,6,7,0,2,1,0,16,0,4,3,,7,17,6,6,19,1,49,72
January,Abortion,1,0,2,0,0,0,3,1,1,0,1,3,,1,0,0,1,2,8
January,Dis. Of peuperium & child birth,2,0,0,0,0,0,2,1,1,0,0,2,1,0,6,,1,8,12
January,Neoplasms,0,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,1,2
January,Dis. Of blood & blood forming organs,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,2,2
January,mental Disorders,3,0,11,0,0,0,14,0,0,0,0,0,1,0,1,,3,5,19
January,Dental disorders,2,1,12,5,1,0,21,7,0,11,1,19,6,9,4,2,22,43,83
January,Dis. Of the skin,84,10,74,15,7,0,190,67,4,29,17,117,136,186,73,58,63,516,823
January,Rheumatisim,24,10,101,9,64,0,208,46,0,36,30,112,49,9,38,5,28,129,449
January,Congential Anomalis,0,0,0,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,33
January,Pyrexia of unknown origin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
January,Poisoning,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
January,Accidents ( fructures & Burns),17,5,27,6,0,0,55,6,22,19,9,56,29,41,21,,9,100,211
January,Typhoid ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,Amebiasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,Diabetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,Epilepsy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,SYPHILIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,HIV ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,Assault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,Snake bite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,Other bites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,All other diseases,167,37,126,,54,,384,58,63,32,6,159,64,372,16,25,2,479,1022
January,TOTAL NEW CASES,1626,212,2215,209,459,0,4721,1025,357,410,216,2008,1732,1739,1026,455,981,5933,12662
January,Re-attendances(Re-visits),10,6,22,,99,,137,16,58,68,56,198,39,266,,20,28,353,688
January,REFERRALS,3,0,0,0,0,0,3,1,0,0,0,1,9,,1,2,3,15,19
January,No. of first Attendances,1095,198,1120,,316,,2729,1025,336,314,174,1849,1066,1351,778,,616,3811,8389
January,Avrage dis. per Attendance,1,1,2,,,#DIV/0!,,1,1,1,1,,2,1,1,23,2,,
February,Diarhoheal Diseases,9,,10,6,14,1,40,42,19,12,20,93,67,56,25,10,20,178,311
February,Tuberculosis,1,,,,,,1,,,,,0,,6,,,,6,7
February,Leprosy,,,,,,,0,,,,,0,,,,,,0,0
February,Whoopng Cough,,,,,,,0,,,,,0,,,,,,0,0
February,Meningitis,,,,,,,0,,,,,0,1,,,,,1,1
February,Tetenus,,,,,,,0,,,,,0,,,,,,0,0
February,Poliomyelitis,,,,,,,0,,,,,0,,,,,,0,0
February,chicken Pox,,,1,,,16,17,1,,,,1,,,,,1,1,19
February,Measles,,,,,,,0,,1,,,1,,,,,,0,1
February,Infections Hepatitis,,,,,,,0,,,,,0,,,,,,0,0
February,Mumps,,,2,,,,2,,,2,,2,,,,,,0,4
February,Malaria,767,147,893,76,141,594,2618,440,172,205,115,932,795,572,607,191,550,2715,6265
February,Gonorrhea,3,,,,,,3,1,,,2,3,2,10,,,,12,18
February,Urinary Tract Infections,9,,6,5,4,,24,7,4,11,6,28,11,54,1,,13,79,131
February,Bilharzia,,,,,,,0,0,,,,0,1,,,1,,2,2
February,Intestinal Worms,88,40,169,5,106,255,663,69,92,71,20,252,106,180,111,67,153,617,1532
February,Malnutrition,,,,,,,0,0,,,,0,1,1,,,,2,2
February,Anaemia,2,1,1,,,,4,0,6,2,,8,,19,,,1,20,32
February,Eye Infections,16,8,8,4,13,4,53,24,6,1,6,37,18,30,10,8,6,72,162
February,Cataract,,,,,,,0,0,,,,0,1,,,,,1,1
February,ear infectins,18,6,21,4,16,16,81,10,8,8,9,35,39,46,19,12,10,126,242
February,Dis. Of circulatory systems,,,,,,,0,0,,,3,3,12,1,,,,13,16
February,Dis of Respiratory systems,658,88,475,54,103,290,1668,233,77,39,39,388,369,504,374,87,237,1571,3627
February,Pneumonia,7,21,3,,,,31,2,4,1,3,10,37,4,17,19,1,78,119
February,Abortion,1,,,,,,1,0,,1,,1,,4,,,,4,6
February,Dis. Of peuperium & child birth,1,,1,,,,2,2,,,,2,4,,10,,,14,18
February,Neoplasms,,,,,,,0,0,,,,0,,,,,,0,0
February,Dis. Of blood & blood forming organs,,,,,,,0,0,,,,0,,,,,,0,0
February,mental Disorders,,,4,,,,4,0,,,2,2,1,3,0,,,4,10
February,Dental disorders,8,,4,6,6,10,34,44,,7,4,55,6,18,7,24,19,74,163
February,Dis. Of the skin,108,7,66,7,76,17,281,48,13,22,13,96,89,177,88,55,73,482,859
February,Rheumatisim,43,23,90,8,61,102,327,0,12,54,20,86,59,9,98,8,31,205,618
February,Congential Anomalis,,,,,,,0,0,,,,0,,,,,,0,0
February,Pyrexia of unknown origin,,,,,,,0,0,,,,0,,,,,,0,0
February,Poisoning,,,,,,,0,,,,,0,1,,,,,1,1
February,Accidents ( fructures & Burns),16,,24,7,7,5,59,8,8,17,1,34,49,77,22,,26,174,267
February,Typhoid ,,,,,,,0,,19,,,19,,,,,,0,19
February,Amebiasis,,,,,,,0,,,,,0,,,,,,0,0
February,Diabetes,,,,,,,0,,,,,0,,,,,,0,0
February,Epilepsy,,,,,,,0,,,,,0,,,,,,0,0
February,SYPHILIS,,,,,,,0,,,,,0,,,,,,0,0
February,HIV ,,,,,,,0,,,,,0,,,,,,0,0
February,Assault,,,,,,,0,,,,,0,,,,,,0,0
February,Snake bite,,,,,,,0,,,,,0,,,,,,0,0
February,Other bites,,,,,,,0,,,,,0,,,,,,0,0
February,,,,,,,,0,,,,,0,,,,,,0,0
February,,,,,,,,0,,,,,0,,,,,,0,0
February,,,,,,,,0,,,,,0,,,,,,0,0
February,All other diseases,189,44,114,,85,99,531,42,134,73,15,264,85,539,8,37,14,683,1478
February,TOTAL NEW CASES,1944,385,1892,182,632,1409,6444,973,575,526,278,2352,1754,2310,1397,519,1155,7135,15931
February,Re-attendances(Re-visits),118,40,95,69,151,128,601,50,,100,59,209,121,372,30,23,61,607,1417
February,REFERRALS,,,,0,,,0,1,,1,1,3,12,,1,1,6,20,23
February,No. of first Attendances,,,,107,,769,876,986,,,,986,,1893,992,,688,3573,5435
February,Avrage dis. per Attendance,16,10,20,1,4,2,,1,#DIV/0!,5,5,,14,1,1,23,2,,
March,Diarhoheal Diseases,60,,26,12,26,21,145,59,,11,10,80,96,43,36,10,9,194,419
March,Tuberculosis,,,,,,,0,,,,,0,,8,,,,8,8
March,Leprosy,,,,,,,0,,,,,0,,,,,,0,0
March,Whoopng Cough,,,,,,,0,,,,,0,,,,,,0,0
March,Meningitis,,,,,,,0,,,,,0,,,,,,0,0
March,Tetenus,,,,,,,0,,,,,0,,,,,,0,0
March,Poliomyelitis,,,,,,,0,,,,,0,,,,,,0,0
March,chicken Pox,4,,5,,,9,18,,,,,0,,,,,1,1,19
March,Measles,,,,,,,0,,,,,0,,,,,,0,0
March,Infections Hepatitis,,,,,,,0,,,,,0,,,,,,0,0
March,Mumps,7,,5,,,,12,,,,,0,,,2,,,2,14
March,Malaria,975,140,1260,58,174,1169,3776,433,,278,163,874,1084,473,851,275,701,3384,8034
March,Gonorrhea,,,,,,2,2,1,,,,1,,6,1,,,7,10
March,Urinary Tract Infections,9,2,10,1,16,,38,5,,18,1,24,10,36,3,,6,55,117
March,Bilharzia,,,,,,,0,,,,,0,,,,1,,1,1
March,Intestinal Worms,98,14,286,3,125,226,752,75,85,87,33,280,110,273,169,55,168,775,1807
March,Malnutrition,,,,,,1,1,,,,,0,,,,,,0,1
March,Anaemia,1,,1,,,19,21,,,,3,3,,17,,1,,18,42
March,Eye Infections,19,9,19,2,8,29,86,9,,1,3,13,29,41,11,18,7,106,205
March,Cataract,,,,,,,0,,,,,0,,,,,,0,0
March,ear infectins,16,3,41,3,13,,76,8,,10,3,21,45,45,32,55,14,191,288
March,Dis. Of circulatory systems,2,,,,,,2,,,,,0,,,2,,,2,4
March,Dis of Respiratory systems,696,57,689,58,97,540,2137,220,,66,98,384,592,519,555,107,362,2135,4656
March,Pneumonia,16,13,4,2,,,35,1,,7,9,17,33,5,23,21,1,83,135
March,Abortion,1,,0,,,,1,2,,,,2,,,,,,0,3
March,Dis. Of peuperium & child birth,,,1,,,,1,1,,,,1,1,,1,,1,3,5
March,Neoplasms,,,,,,,0,,,,,0,,,,,,0,0
March,Dis. Of blood & blood forming organs,,,,,,,0,1,,,,1,,,,,,0,1
March,mental Disorders,1,,6,,,,7,,,,,0,,,,,,0,7
March,Dental disorders,3,,11,4,3,9,30,7,,8,11,26,,5,8,8,6,27,83
March,Dis. Of the skin,85,12,99,13,61,14,284,54,,49,14,117,131,165,67,67,88,518,919
March,Rheumatisim,26,14,140,3,73,131,387,24,,49,13,86,69,13,66,10,33,191,664
March,Congential Anomalis,,,,,,,0,,,,2,2,1,,,,,1,3
March,Pyrexia of unknown origin,,1,,,,,1,1,,,,1,,,,3,,3,5
March,Poisoning,,,,,,,0,,,,,0,1,,,,,1,1
March,Accidents ( fructures & Burns),38,2,31,5,9,11,96,5,,14,4,23,38,47,28,1,32,146,265
March,Typhoid ,,,,,,,0,,,2,,2,,,,,,0,2
March,Amebiasis,,,,,,,0,,,,,0,,,,,,0,0
March,Diabetes,,,,,,,0,,,,,0,,,,,,0,0
March,Epilepsy,,,,,,,0,,,,,0,,,,,,0,0
March,SYPHILIS,,,,,,,0,,,,,0,,,,,,0,0
March,HIV ,,,,,,,0,,,,,0,,,,,,0,0
March,Assault,,3,,,,,3,,,,,0,10,,,,,10,13
March,Snake bite,,,,,,,0,,,,,0,,,,,,0,0
March,Other bites,,,,,,,0,,,,,0,,,,,,0,0
March,,,,,,,,0,,,,,0,,,,,,0,0
March,,,,,,,,0,,,,,0,,,,,,0,0
March,,,,,,,,0,,,,,0,,,,,,0,0
March,All other diseases,159,78,110,,80,195,622,28,,85,,113,88,452,30,56,10,636,1371
March,TOTAL NEW CASES,2216,348,2744,164,685,2376,8533,934,85,685,367,2071,2338,2148,1885,688,1439,8498,19102
March,Re-attendances(Re-visits),236,92,319,59,188,447,1341,43,,170,30,243,320,375,164,68,159,1086,2670
March,REFERRALS,,,1,4,5,,10,3,,1,,4,11,,,1,1,13,27
March,No. of first Attendances,1425,,1339,86,525,1252,4627,,,482,291,773,1165,1741,1098,646,738,5388,10788
March,Avrage dis. per Attendance,1,4,2,1,1,1,,22,#DIV/0!,1,1,,2,1,1,1,2,,
April,Diarhoheal Diseases,37,,15,11,24,9,96,30,10,16,10,66,59,23,17,4,24,127,289
April,Tuberculosis,,,,,,,0,,1,,,1,,4,,,,4,5
April,Leprosy,,,,,,,0,,,,,0,,,,,,0,0
April,Whoopng Cough,,,,,,,0,,,,,0,,,,,,0,0
April,Meningitis,,,,,,,0,,,,,0,,,,,,0,0
April,Tetenus,,,,,,,0,,,,,0,,,,,,0,0
April,Poliomyelitis,,,,,,,0,,,,,0,,,,,,0,0
April,chicken Pox,5,1,3,,,2,11,,,,,0,1,1,,,,2,13
April,Measles,5,,3,,,,8,,,,,0,0,0,,,,0,8
April,Infections Hepatitis,0,,1,,,,1,,,,,0,1,1,,,,2,3
April,Mumps,2,,0,,,,2,1,,,,1,1,0,,,,1,4
April,Malaria,681,71,488,85,101,576,2002,306,107,159,82,654,555,219,557,144,615,2090,4746
April,Gonorrhea,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,2,3
April,Urinary Tract Infections,17,2,15,8,4,7,53,2,2,3,5,12,9,24,2,0,2,37,102
April,Bilharzia,0,0,0,,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2
April,Intestinal Worms,61,11,135,,44,98,349,22,59,39,15,135,88,172,58,40,111,469,953
April,Malnutrition,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
April,Anaemia,0,0,0,,1,0,1,0,0,0,1,1,0,9,1,10,0,20,22
