DISEASES,THARAKA DIST HOSP,RUUNGU DISP MISSION,NKONDI DISP GOK,JOSAN DISP PRIVATE,GATUNGA DISP MISSION,KANYURU DISP GOK,SUB-TOTAL,KATHANGACINI DISP,MUKOTHIMA HC MISSION,KAGENI DISP PRIVATE,THANANTU DISP NGO,SUB-TOTAL,CHIAKARIGA HC GOK,ST ORSOLA HOSP MISSION,TUNYAI DISP GOK,MATERI GIRLS DISP MISSION,KAMANYAKI DISP GOK,SUB-TOTAL,GRAND TOTAL
Diarhoheal Diseases,307,7,390,97,354,139,1294,436,277,139,118,970,880,347,405,109,225,1966,4230
Tuberculosis,3,0,0,0,1,0,4,0,5,0,0,5,0,33,0,0,0,33,42
Leprosy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whoopng Cough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meningitis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
Tetenus,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
chicken Pox,59,1,165,14,3,50,292,7,5,13,1,26,31,7,46,32,17,133,451
Measles,42,0,31,19,0,0,92,12,10,2,0,24,0,3,3,0,1,7,123
Infections Hepatitis,1,0,1,0,0,0,2,1,3,0,0,4,2,10,0,0,0,12,18
Mumps,36,0,51,0,5,4,96,17,0,2,0,19,12,9,9,2,0,32,147
Malaria,8237,894,10271,964,2054,7003,29423,4220,1383,2133,1130,8866,10093,4060,8173,2185,6608,31119,69408
Gonorrhea,8,0,0,1,1,6,16,9,6,2,6,23,5,43,4,0,1,53,92
Urinary Tract Infections,114,12,95,44,105,55,425,46,33,112,48,239,112,434,62,3,53,664,1328
Bilharzia,1,0,0,0,0,0,1,0,13,0,3,16,1,3,0,3,0,7,24
Intestinal Worms,802,279,2451,109,818,1521,5980,591,814,638,300,2343,1535,2353,1630,548,1798,7864,16187
Malnutrition,2,0,0,0,1,1,4,2,5,0,21,28,3,4,33,0,5,45,77
Anaemia,17,2,5,0,7,19,50,4,20,8,13,45,6,108,60,13,3,190,285
Eye Infections,221,52,188,39,115,186,801,186,92,24,35,337,260,280,261,112,108,1021,2159
Cataract,0,0,1,3,0,0,4,0,0,0,1,1,6,0,1,11,2,20,25
ear infectins,192,32,267,53,132,238,914,105,90,59,75,329,782,478,323,125,137,1845,3088
Dis. Of circulatory systems,29,48,1,0,3,0,81,0,0,1,25,26,81,2,2,9,0,94,201
Dis of Respiratory systems,7215,444,5240,1131,846,4230,19106,2032,827,440,439,3738,4147,4120,4506,816,3462,17051,39895
Pneumonia,142,94,38,20,18,0,312,42,65,50,58,215,283,116,267,110,5,781,1308
Abortion,23,2,8,0,0,0,33,7,1,2,3,13,44,16,8,0,4,72,118
Dis. Of peuperium & child birth,9,0,5,3,2,1,20,10,6,1,0,17,18,4,99,0,48,169,206
Neoplasms,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2
Dis. Of blood & blood forming organs,0,0,5,0,3,0,8,1,0,1,0,2,6,0,1,0,2,9,19
mental Disorders,10,2,66,9,4,0,91,2,0,0,2,4,22,7,11,0,5,45,140
Dental disorders,40,13,139,58,60,115,425,148,20,148,86,402,41,89,111,107,168,516,1343
Dis. Of the skin,859,88,797,196,430,187,2557,592,159,332,240,1323,1070,1708,1045,427,837,5087,8967
Rheumatisim,355,83,976,155,461,759,2789,295,263,391,239,1188,654,131,866,141,344,2136,6113
Congential Anomalis,0,0,0,6,52,83,135,0,3,1,2,6,2,0,0,0,0,2,143
Pyrexia of unknown origin,0,1,0,0,2,0,3,2,0,0,0,2,1,0,0,6,0,7,12
Poisoning,3,0,2,0,0,3,8,0,6,5,0,11,2,1,0,0,0,3,22
Accidents ( fructures & Burns),251,26,354,93,128,186,1038,73,76,170,64,383,405,505,391,11,246,1558,2979
Typhoid ,42,3,0,0,0,0,45,3,19,2,0,24,13,0,0,0,0,13,82
Amebiasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epilepsy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYPHILIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIV ,0,0,0,0,0,0,36,0,0,0,0,3,0,0,0,0,0,43,82
Assault,33,3,0,0,0,0,0,3,0,0,0,0,43,0,0,0,0,0,0
Snake bite,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,17
Other bites,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All other diseases,0,0,0,0,0,0,5905,0,0,0,0,2403,0,0,0,0,0,5634,13942
TOTAL NEW CASES,19053,2086,21547,3014,5622,14786,66108,8847,4201,4677,2909,20634,20561,14872,18317,4770,14080,72600,
Re-attendances(Re-visits),2926,811,3888,816,1592,4677,14710,734,869,1236,542,3381,3841,2719,2765,378,2625,12328,30419
REFERRALS,,,,,,,,,,,,,,,,,,,
No. of first Attendances,12077,360,8357,934,3164,7385,32277,2392,3753,3313,1862,11320,8356,15286,10262,1441,5411,40756,84353
Avrage dis. per Attendance,,2,2,2,1,1,,3,1,1,1,,2,1,1,3,2,,
