DISEASES,THARAKA DIST HOSP,RUUNGU DISP MISSION,NKONDI DISP GOK,JOSAN DISP PRIVATE,GATUNGA DISP MISSION,KIBUNGA H/C,KANYURU DISP GOK,SUB-TOTAL,KATHANGACINI DISP,MUKOTHIMA HC MISSION,KAGENI DISP PRIVATE,GACIONGO DISP GOK,THANANTU DISP NGO,SUB-TOTAL,CHIAKARIGA HC GOK,ST ORSOLA HOSP MISSION,TUNYAI DISP GOK,MATERI GIRLS DISP MISSION,KAMANYAKI DISP GOK,SUB-TOTAL,GRAND TOTAL
Diarhoheal Diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuberculosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leprosy,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Whoopng Cough,#VALUE!,0,0,0,0,0,0,0,#VALUE!,0,0,0,0,0,#VALUE!,0,0,0,0,0,0
Meningitis,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Tetenus,409,20,192,105,165,313,34,1223,167,550,102,59,59,1049,1085,343,484,103,45,2060,4332
Poliomyelitis,0,0,0,0,0,13,0,13,0,1,0,0,0,1,0,22,0,0,1,23,37
chicken Pox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infections Hepatitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonorrhea,35,13,51,4,4,87,34,226,0,0,3,0,1,6,88,49,20,0,25,182,414
Urinary Tract Infections,95,3,23,3,2,159,6,289,28,10,57,1,6,127,3,32,2,0,4,41,457
Bilharzia,1,0,0,0,0,0,2,3,0,0,0,0,0,0,1,24,0,0,0,25,28
Intestinal Worms,3,16,69,25,0,46,68,227,9,39,13,2,0,76,220,43,165,2,116,546,849
Malnutrition,8747,999,9441,1174,3702,3177,6660,33607,2146,2497,2506,1112,957,10676,8747,3948,6618,1686,5597,32291,76574
Anaemia,7,0,6,0,4,0,1,18,4,18,11,0,4,37,9,38,16,0,1,64,119
Eye Infections,148,11,103,72,176,185,136,808,29,153,121,9,27,355,178,440,73,11,64,766,1929
Cataract,1,0,0,0,0,0,0,1,0,0,0,213,1,214,2,0,0,8,0,10,225
ear infectins,623,364,2244,283,1188,764,1523,6858,300,690,455,378,227,2366,2326,2286,1129,316,1632,7689,16913
Dis. Of circulatory systems,0,0,0,0,0,3,0,3,22,17,1,0,1,41,#VALUE!,4,32,2,0,38,82
Dis of Respiratory systems,18,0,2,0,2,4,0,26,15,88,5,3,0,111,13,45,239,0,3,300,437
Pneumonia,191,54,225,38,90,286,128,1009,87,212,38,11,27,417,261,270,275,85,111,1002,2428
Abortion,1,0,0,1,1,2,3,8,3,0,1,12,0,16,9,0,0,4,1,14,38
Dis. Of peuperium & child birth,285,22,213,59,128,218,198,1113,78,141,89,14,61,438,588,524,405,59,82,1658,3209
Neoplasms,12,0,0,56,5,53,0,126,0,0,1,0,9,13,19,0,0,0,4,23,162
Dis. Of blood & blood forming organs,9032,520,5583,780,1229,2684,2970,22721,1330,916,643,603,280,4540,6267,4039,3275,789,2270,16640,43901
mental Disorders,230,25,27,22,8,465,2,779,127,225,111,16,71,567,1173,236,1013,104,19,2545,3891
Dental disorders,18,1,4,1,5,9,1,39,2,0,2,0,0,4,2,42,10,0,5,59,102
Dis. Of the skin,2,0,1,0,1,1,0,5,1,15,1,0,2,19,31,3,87,0,18,139,163
Rheumatisim,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2
Congential Anomalis,0,0,0,0,14,0,0,14,0,0,1,0,7,8,11,0,9,0,0,20,42
Pyrexia of unknown origin,26,1,12,0,5,7,0,51,3,0,1,0,2,7,37,16,5,0,4,62,120
