DISEASES,THARAKA DIST HOSP,NKONDI DISP GOK,JOSAN DISP PRIVATE,GATUNGA DISP MISSION,KIBUNGA H/C,SUNSHINE CLINIC,KANYURU DISP GOK,SUB-TOTAL,KATHANGACINI DISP,MUKOTHIMA HC MISSION,KAGENI DISP PRIVATE,GACIONGO DISP GOK,KAMWATHU,MUGAS CLINIC,THANANTU DISP NGO,SUB-TOTAL,CHIAKARIGA HC GOK,ST ORSOLA HOSP MISSION,TUNYAI DISP GOK,MATERI GIRLS DISP MISSION,KAMANYAKI DISP GOK,SUB-TOTAL,GRAND TOTAL
Diarhoheal Diseases,582,130,126,102,270,5,183,1398,787,380,254,472,271,11,48,2223,807,869,692,344,140,2852,6473
Tuberculosis,1,0,0,1,2,0,0,4,0,0,1,0,0,1,0,2,2,9,7,0,0,18,24
Leprosy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whoopng Cough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meningitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetenus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,2
Poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chicken Pox,110,37,55,13,79,0,77,371,190,16,28,124,113,1,68,540,161,183,174,51,45,614,1525
Measles,25,26,0,3,2,0,5,61,19,0,1,1,0,0,1,22,6,5,1,4,2,18,101
Infections Hepatitis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,2,1,3,0,6,9
Mumps,20,63,55,3,46,0,73,260,117,6,11,27,11,4,34,210,68,28,27,9,10,142,612
Malaria,6794,5670,3359,1937,3766,48,4057,25631,15069,1862,2088,4724,2998,471,1896,29108,8723,8410,8171,4149,3532,32985,87724
Gonorrhea,8,3,1,0,3,1,1,17,9,12,14,9,3,0,25,72,23,46,38,23,7,137,226
Urinary Tract Infections,142,52,48,120,133,3,98,596,382,141,95,95,23,3,152,891,247,425,287,179,114,1252,2739
Bilharzia,0,0,0,0,0,0,0,0,0,2,1,1,0,11,0,15,13,1,4,1,0,19,34
Intestinal Worms,340,1468,884,726,828,38,861,5145,3233,452,391,1472,1170,105,778,7601,2694,2980,2741,1301,1172,10888,23634
Malnutrition,5,0,0,0,2,1,3,11,12,41,7,1,0,0,134,195,19,150,25,12,41,247,453
Anaemia,18,0,0,0,4,2,2,26,28,68,50,4,0,0,0,150,59,34,110,74,78,355,531
Eye Infections,184,183,113,64,145,4,123,816,502,179,62,103,67,6,47,966,238,406,364,304,269,1581,3363
Cataract,7,0,0,0,2,5,7,21,21,1,0,0,0,2,21,45,22,8,65,77,77,249,315
ear infectins,198,97,80,106,127,10,209,827,521,147,113,265,144,80,37,1307,458,459,576,245,173,1911,4045
Dis. Of circulatory systems,45,238,0,0,19,0,3,305,18,0,7,2,0,0,1,28,6,17,7,216,137,383,716
Dis of Respiratory systems,6150,3461,2167,864,1840,38,2143,16663,9029,943,1053,2200,1698,50,668,15641,4271,3783,3886,1729,1226,14895,47199
Pneumonia,363,11,35,48,338,28,190,1013,532,166,134,100,56,22,206,1216,482,702,767,443,354,2748,4977
Abortion,57,0,3,0,12,0,1,73,12,1,2,2,1,0,3,21,4,21,31,19,12,87,181
Dis. Of peuperium & child birth,2,0,1,3,1,0,0,7,3,3,0,1,0,0,4,11,14,3,22,18,11,68,86
Neoplasms,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,2,4
Dis. Of blood & blood forming organs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,2,7,8,0,1,18,21
mental Disorders,26,13,2,2,5,0,0,48,22,10,0,9,9,0,0,50,28,47,48,12,3,138,236
Dental disorders,73,69,64,79,63,0,82,430,224,40,66,104,43,90,198,765,220,460,229,342,178,1429,2624
Dis. Of the skin,557,548,427,220,360,0,126,2238,1105,180,262,476,330,12,184,2549,914,1084,1078,736,512,4324,9111
Rheumatisim,343,362,278,237,235,0,373,1828,1042,357,369,587,327,28,209,2919,1001,972,658,357,359,3347,8094
Congential Anomalis,6,0,0,0,2,0,1,9,6,0,12,1,0,0,0,19,13,1,0,0,0,14,42
Pyrexia of unknown origin,6,0,1,1,3,0,0,11,10,13,0,0,0,0,0,23,8,9,1,1,0,19,53
Poisoning,4,0,0,2,0,0,1,7,3,12,7,2,0,0,0,24,10,8,5,0,1,24,55
Accidents ( fructures & Burns),161,151,157,51,55,0,70,645,327,69,142,183,74,1,69,865,361,420,412,328,164,1685,3195
Typhoid ,83,0,0,0,38,0,9,130,70,128,421,352,5,5,140,1121,536,433,225,69,46,1309,2560
Amebiasis,0,0,0,0,0,0,0,0,0,8,281,202,0,0,0,491,156,152,211,201,47,767,1258
Diabetes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,2,4
Epilepsy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYPHILIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIV ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
