SubLocationId,SubLocationName,DiseasesQtyMalaria,DiseasesRankMalaria,DiseasesQtyGastroEnteritis,DiseasesRankGastroEnteritis,DiseasesQtyHIVAids,DiseasesRankHIVAids,DiseasesQtyTB,DiseasesRankTB,DiseasesQtyWorms,DiseasesRankWorms,DiseasesQtyURTILRTI,DiseasesRankURTILRTI,DiseasesQtyUTI,DiseasesRankUTI,DiseasesQtyGonorrhoea,DiseasesRankGonorrhoea,DiseasesQtySTD,DiseasesRankSTD,DiseasesQtySkinInfection,DiseasesRankSkinInfection,DiseasesQtyEyeInfection,DiseasesRankEyeInfection,DiseasesQtyAnaemia,DiseasesRankAnaemia,DiseasesQtyMalnutrition,DiseasesRankMalnutrition
3,Archers Post,1246,2.0,49,8,0,0,13,9,5,10,2165,1,67.0,5.0,5.0,1.0,60,7,510,3.0,129,4,12,10,65,6
4,Arsim,444,0.0,111,0,0,0,7,0,24,0,724,0,28.0,0.0,27.0,0.0,26,0,66,0.0,979,0,18,0,459,0
6,Baragoi,1395,0.0,699,0,27,0,50,0,112,0,3369,0,5.0,0.0,0.0,0.0,0,0,270,,192,0,11,0,15,0
7,Barsaloi,1116,0.0,124,0,0,0,0,0,0,0,151,0,0.0,0.0,5.0,0.0,0,0,10,0.0,8,0,0,0,0,0
12,Illaut,812,0.0,185,0,0,0,0,0,0,0,761,0,97.0,0.0,0.0,0.0,0,0,69,0.0,66,0,0,0,0,0
13,Kalele,936,0.0,254,0,1,0,2,0,234,0,1314,0,42.0,0.0,18.0,0.0,30,0,318,0.0,72,0,6,0,30,0
14,Kirimon,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0
15,Koiting,960,2.0,720,3,0,0,2,12,410,6,1250,1,240.0,7.0,96.0,9.0,110,8,560,4.0,480,5,60,10,56,11
17,Latakweny,652,0.0,56,0,0,0,4,0,4,0,732,0,10.0,0.0,72.0,0.0,0,0,60,0.0,50,0,10,0,5,0
18,Lbukoi,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0
19,Ledero,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0
24,Lesirikan,579,,192,0,1,0,0,0,41,0,1048,0,164.0,0.0,0.0,0.0,0,0,198,0.0,188,0,17,0,4,0
29,Lkuroto,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0
31,Lmisigiyoi,3914,1.0,1411,3,3,12,9,11,189,6,3759,2,123.0,7.0,52.0,8.0,0,0,604,4.0,312,5,13,10,26,9
32,Lodokejek,1127,2.0,352,11,0,0,36,0,660,3,1199,12,400.0,5.0,120.0,0.0,100,0,162,4.0,727,2,54,0,338,12
