year,Month,DISEASES,CHIAKARIGA HC GOK,GACIONGO DISP GOK,GATUNGA DISP MISSION,JOSAN DISP PRIVATE,KAGENI DISP PRIVATE,KAMANYAKI DISP GOK,KAMWATHU,KANYURU DISP GOK,KATHANGACINI DISP,KIBUNGA H/C,MATERI GIRLS DISP MISSION,MUGAS CLINIC,MUKOTHIMA HC MISSION,NKONDI DISP GOK,RUUNGU DISP MISSION,ST ORSOLA HOSP MISSION,SUNSHINE CLINIC,THANANTU DISP NGO,THARAKA DIST HOSP,TUNYAI DISP GOK
2006,JAN,Diarhoheal Diseases,107,,14.0,6.0,7.0,5.0,,6.0,12,,10.0,,34,21.0,0,15.0,,6.0,26.0,47
2006,JAN,Tuberculosis,0,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,Leprosy,0,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,Whoopng Cough,0,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,Meningitis,0,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,Tetenus,0,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,Poliomyelitis,0,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,chicken Pox,3,,0.0,0.0,1.0,2.0,,0.0,0,,,,0,15.0,0,3.0,,0.0,5.0,2
2006,JAN,Measles,0,,,1.0,0.0,0.0,,1.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,Infections Hepatitis,0,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,3.0,,0.0,0.0,0
2006,JAN,Mumps,3,,0.0,0.0,1.0,0.0,,2.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,Malaria,1433,,315.0,90.0,180.0,656.0,,657.0,290,,161.0,,234,1261.0,42,496.0,,77.0,760.0,880
2006,JAN,Gonorrhea,0,,0.0,0.0,3.0,0.0,,0.0,3,,0.0,,2,0.0,0,0.0,,0.0,0.0,5
2006,JAN,Urinary Tract Infections,13,,10.0,6.0,11.0,,,19.0,4,,1.0,,7,16.0,1,30.0,,2.0,16.0,25
2006,JAN,Bilharzia,0,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,Intestinal Worms,203,,107.0,10.0,47.0,102.0,,113.0,29,,20.0,,92,227.0,26,209.0,,21.0,56.0,130
2006,JAN,Malnutrition,0,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,3
2006,JAN,Anaemia,0,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,2,0.0,0,3.0,,0.0,3.0,0
2006,JAN,Eye Infections,16,,13.0,3.0,4.0,,,14.0,7,,3.0,,13,21.0,0,10.0,,3.0,12.0,53
2006,JAN,Cataract,3,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,ear infectins,67,,17.0,5.0,11.0,2.0,,14.0,8,,2.0,,12,49.0,1,40.0,,8.0,34.0,40
2006,JAN,Dis. Of circulatory systems,3,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,Dis of Respiratory systems,522,,121.0,77.0,52.0,330.0,,230.0,138,,68.0,,79,715.0,5,488.0,,15.0,734.0,345
2006,JAN,Pneumonia,127,,0.0,2.0,4.0,,,0.0,4,,8.0,,15,1.0,4,18.0,,8.0,23.0,108
2006,JAN,Abortion,0,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,1.0,,0.0,3.0,3
2006,JAN,Dis. Of peuperium & child birth,1,,0.0,0.0,0.0,0.0,,0.0,1,,0.0,,0,0.0,0,1.0,,0.0,1.0,15
2006,JAN,Neoplasms,0,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,Dis. Of blood & blood forming organs,1,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,mental Disorders,7,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,3.0,0,0.0,,0.0,4.0,0
2006,JAN,Dental disorders,1,,10.0,4.0,12.0,,,16.0,8,,1.0,,0,9.0,1,5.0,,2.0,5.0,14
2006,JAN,Dis. Of the skin,142,,6.0,13.0,37.0,40.0,,44.0,49,,20.0,,16,127.0,3,169.0,,6.0,85.0,134
2006,JAN,Rheumatisim,67,,90.0,7.0,27.0,14.0,,120.0,26,,18.0,,13,109.0,9,6.0,,15.0,44.0,103
2006,JAN,Congential Anomalis,0,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,Pyrexia of unknown origin,0,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,Poisoning,0,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,1.0,,0.0,0.0,0
2006,JAN,Accidents ( fructures & Burns),32,,28.0,5.0,11.0,1.0,,18.0,6,,0.0,,6,35.0,2,20.0,,4.0,26.0,47
2006,JAN,Typhoid ,0,,4.0,0.0,19.0,0.0,,0.0,0,,0.0,,7,0.0,8,0.0,,8.0,0.0,0
2006,JAN,Amebiasis,0,,0.0,0.0,0.0,0.0,,0.0,13,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,Diabetes,0,,0.0,0.0,0.0,0.0,,0.0,1,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,Epilepsy,0,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,SYPHILIS,0,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,HIV ,0,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,Assault,9,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,12.0,0
2006,JAN,Snake bite,0,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,Other bites,0,,1.0,0.0,9.0,0.0,,0.0,0,,0.0,,0,0.0,0,0.0,,0.0,0.0,0
2006,JAN,Brucellosis,0,,0.0,0.0,2.0,0.0,,0.0,0,,0.0,,2,0.0,0,0.0,,0.0,0.0,0
2006,JAN,All other diseases,113,,8.0,,6.0,,,138.0,21,,39.0,,94,166.0,6,297.0,,0.0,181.0,13
2006,JAN,TOTAL NEW CASES,2873,,744.0,229.0,444.0,1152.0,,1392.0,620,0,351.0,,628,2775.0,108,1815.0,,175.0,2030.0,1967
2006,JAN,Re-attendances(Re-visits),84,,124.0,78.0,78.0,46.0,,132.0,20,,,,104,27.0,,154.0,,36.0,66.0,13
2006,JAN,REFERRALS,4,,4.0,,2.0,1.0,,0.0,1,,4.0,,0,,,,,0.0,,
2006,JAN,No. of first Attendances,1671,,664.0,104.0,326.0,755.0,,1061.0,,,351.0,,562,1525.0,,1413.0,,115.0,1807.0,1432
2006,JAN,Avrage dis. per Attendance,2,,1.0,1.0,1.0,1.0,,1.0,31,#DIV/0!,1.0,,1,2.0,#DIV/0!,1.0,,1.0,1.0,1
2006,FEB,Diarhoheal Diseases,106,,17.0,12.0,11.0,5.0,,2.0,,,25.0,,70,10.0,,73.0,,25.0,38.0,26
2006,FEB,Tuberculosis,0,,,,,,,,,,,,,,,,,,,1
2006,FEB,Leprosy,0,,,,,,,,,,,,,,,,,,,
2006,FEB,Whoopng Cough,0,,,,,,,,,,,,,,,,,,,
2006,FEB,Meningitis,0,,,,,,,,,,,,,,,,,,,
2006,FEB,Tetenus,0,,,,,,,,,,,,,,,,,,,
2006,FEB,Poliomyelitis,0,,,,,,,,,,,,,,,,,,,
2006,FEB,chicken Pox,0,,,,,,,,,,,,,1.0,,6.0,,,1.0,2
2006,FEB,Measles,4,,,,,,,,,,,,,,,,,4.0,1.0,5
2006,FEB,Infections Hepatitis,0,,,,,,,,,,,,,,,,,,,2
2006,FEB,Mumps,0,,,,,,,12.0,,,,,,2.0,,7.0,,,,6
2006,FEB,Malaria,1036,,486.0,141.0,287.0,167.0,,769.0,,,607.0,,302,893.0,68,1813.0,,447.0,1135.0,482
2006,FEB,Gonorrhea,7,,2.0,,1.0,,,,,,,,6,,,1.0,,,3.0,3
2006,FEB,Urinary Tract Infections,30,,19.0,7.0,13.0,1.0,,11.0,,,1.0,,11,6.0,1,16.0,,6.0,7.0,37
2006,FEB,Bilharzia,0,,,,,,,,,,,,,,,,,,,
2006,FEB,Intestinal Worms,250,,119.0,16.0,65.0,39.0,,120.0,,,111.0,,101,169.0,42,190.0,,84.0,76.0,197
2006,FEB,Malnutrition,0,,,,,,,,,,,,,,,,,,,1
2006,FEB,Anaemia,5,,2.0,,,,,,,,,,5,1.0,,4.0,,,4.0,6
2006,FEB,Eye Infections,45,,8.0,3.0,2.0,2.0,,13.0,,,10.0,,28,8.0,,29.0,,15.0,11.0,34
2006,FEB,Cataract,0,,,,,2.0,,,,,,,0,,,,,,,
2006,FEB,ear infectins,7,,14.0,7.0,7.0,1.0,,26.0,,,19.0,,,21.0,,54.0,,,27.0,54
2006,FEB,Dis. Of circulatory systems,0,,5.0,,,,,,,,,,,,,3.0,,,1.0,
2006,FEB,Dis of Respiratory systems,387,,164.0,113.0,99.0,85.0,,335.0,,,374.0,,80,475.0,25,711.0,,208.0,1125.0,500
2006,FEB,Pneumonia,64,,4.0,5.0,18.0,15.0,,,,,17.0,,17,3.0,6,285.0,,29.0,26.0,29
2006,FEB,Abortion,0,,,,,,,1.0,,,,,,,,,,,1.0,2
2006,FEB,Dis. Of peuperium & child birth,0,,,,,,,,,,10.0,,,1.0,,3.0,,,,1
2006,FEB,Neoplasms,0,,,,,,,,,,,,,,,,,,,
2006,FEB,Dis. Of blood & blood forming organs,0,,5.0,,,,,,,,,,,,,1.0,,,,
2006,FEB,mental Disorders,0,,1.0,,,,,,,,,,,4.0,,5.0,,,3.0,1
2006,FEB,Dental disorders,9,,1.0,5.0,9.0,7.0,,15.0,,,7.0,,,4.0,,4.0,,,8.0,5
2006,FEB,Dis. Of the skin,114,,38.0,18.0,44.0,15.0,,51.0,,,88.0,,16,66.0,2,125.0,,54.0,86.0,119
2006,FEB,Rheumatisim,139,,29.0,11.0,36.0,11.0,,117.0,,,98.0,,20,90.0,5,99.0,,83.0,18.0,2
2006,FEB,Congential Anomalis,0,,,,,,,,,,,,,,,,,,,1
2006,FEB,Pyrexia of unknown origin,0,,2.0,,,,,,,,,,,,,,,,1.0,
2006,FEB,Poisoning,0,,,,,,,,,,,,,,,,,,,
2006,FEB,Accidents ( fructures & Burns),26,,7.0,6.0,11.0,,,20.0,,,22.0,,5,24.0,8,38.0,,10.0,25.0,28
2006,FEB,Typhoid ,22,,11.0,,19.0,,,,,,,,3,,9,,,,31.0,
2006,FEB,Amebiasis,0,,,,,,,,,,,,,,,,,,,
2006,FEB,Diabetes,0,,,,,,,,,,,,,,,,,,,
2006,FEB,Epilepsy,0,,,,,,,,,,,,,,,,,,,
2006,FEB,SYPHILIS,0,,,,,,,,,,,,,,,,,,,
2006,FEB,HIV ,0,,,,,,,,,,,,,,,,,,,
2006,FEB,Assault,2,,,,,,,,,,,,,,,14.0,,2.0,,
2006,FEB,Snake bite,0,,,,,,,,,,,,,,,,,,,
2006,FEB,Other bites,1,,13.0,,1.0,8.0,,,,,,,,,,,,,,
2006,FEB,All other diseases,166,,17.0,330.0,10.0,9.0,,133.0,,,8.0,,127,,14,127.0,,29.0,190.0,324
2006,FEB,TOTAL NEW CASES,1596,,964.0,92.0,633.0,,,1614.0,,,1396.0,,,,180,3608.0,,963.0,2818.0,
2006,FEB,Re-attendances(Re-visits),169,,172.0,,108.0,3.0,,210.0,,,30.0,,,,23,349.0,,61.0,333.0,184
2006,FEB,REFERRALS,1,,1.0,199.0,1.0,,,6.0,,,1.0,,,,,11.0,,,2.0,
2006,FEB,No. of first Attendances,410,,860.0,,410.0,372.0,,1031.0,,,992.0,,,,,1605.0,,,2020.0,1522
2006,FEB,Avrage dis. per Attendance,0,,,,,,,,,,1.0,,,,,,,,,
2006,MAR,Diarhoheal Diseases,73,,17.0,12.0,11.0,8.0,,0.0,11,,5.0,,,22.0,0,26.0,,5.0,38.0,62
2006,MAR,Tuberculosis,0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,0,0.0,,0.0,0.0,0
2006,MAR,Leprosy,0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,0,0.0,,0.0,0.0,
2006,MAR,Whoopng Cough,0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,0,0.0,,0.0,0.0,
2006,MAR,Meningitis,0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,0,0.0,,0.0,0.0,
2006,MAR,Tetenus,0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,0,0.0,,0.0,0.0,
2006,MAR,Poliomyelitis,0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,0,0.0,,0.0,0.0,
2006,MAR,chicken Pox,6,,0.0,0.0,0.0,,,0.0,,,,,,15.0,0,2.0,,0.0,0.0,
2006,MAR,Measles,0,,0.0,0.0,0.0,,,0.0,2,,,,,4.0,0,5.0,,0.0,1.0,
2006,MAR,Infections Hepatitis,0,,0.0,0.0,0.0,,,0.0,,,,,,0.0,0,2.0,,0.0,0.0,
2006,MAR,Mumps,7,,0.0,0.0,0.0,,,1.0,1,,,,,0.0,0,6.0,,0.0,0.0,
2006,MAR,Malaria,1813,,486.0,141.0,287.0,746.0,,769.0,301,,167.0,,,1184.0,68,482.0,,156.0,1135.0,914
2006,MAR,Gonorrhea,1,,2.0,0.0,1.0,1.0,,,,,0.0,,,0.0,0,3.0,,0.0,3.0,4
2006,MAR,Urinary Tract Infections,16,,19.0,7.0,13.0,7.0,,11.0,,,1.0,,,9.0,1,37.0,,2.0,7.0,16
2006,MAR,Bilharzia,,,0.0,0.0,,,,0.0,,,,,,0.0,0,,,,0.0,
2006,MAR,Intestinal Worms,190,,119.0,16.0,65.0,188.0,,120.0,38,,39.0,,,243.0,42,197.0,,33.0,76.0,47
2006,MAR,Malnutrition,O,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0,1.0,,0.0,0.0,6
2006,MAR,Anaemia,4,,0.0,0.0,0.0,2.0,,,,,0.0,,,0.0,0,6.0,,0.0,4.0,68
2006,MAR,Eye Infections,29,,8.0,3.0,2.0,6.0,,13.0,10,,2.0,,,18.0,0,34.0,,1.0,11.0,46
2006,MAR,Cataract,0,,0.0,0.0,0.0,0.0,,0.0,,,2.0,,,0.0,0,0.0,,0.0,0.0,0
