Year,Month,Antigen,Details,THARAKA DIST HOSP,NKODI DISP,KANYURU DISP,GATUNGA MISSION,KIBUNGA H/C,RUUNGU EAPC DISP,KATHANGACINI DISP,MUKOTHIMA H/C,THANANTU CLINIC,GACIONGO DISP,CHIAKARIGA H/C ,ST. ORSOLA HOSP,MATERI GIRLS ,KAMANYAKI DISP,TUNYAI DISP
2007,Jan,BCG,under 1 year,66,23,24,34,0,,33,98,30,0,16,67,13,5,20
2007,Jan,BCG,above 1year,4,0,0,0,,,0,0,0,,1,1,2,0,0
2007,Jan,DPT/Hep/B/Hib 1,under 1 year,41,30,26,35,,,31,81,10,,15,49,16,7,21
2007,Jan,DPT/Hep/B/Hib 1,above 1year,1,1,0,0,,,1,2,0,,0,0,0,0,0
2007,Jan,DPT/Hep/B/Hib 2,under 1 year,66,29,19,50,,,19,69,10,,17,57,20,15,16
2007,Jan,DPT/Hep/B/Hib 2,above 1year,0,0,0,0,,,0,0,0,,0,0,0,0,0
2007,Jan,DPT/Hep/B/Hib 3,under 1 year,37,30,21,38,,,24,42,14,,5,51,10,10,14
2007,Jan,DPT/Hep/B/Hib 3,above 1year,1,0,2,0,,,0,1,0,,0,0,0,0,0
2007,Jan,OPV (Birth dose),under 1 year,63,11,24,16,,,8,18,30,,9,55,4,1,3
2007,Jan,OPV1,under 1 year,41,30,26,35,,,24,83,10,,15,47,16,7,21
2007,Jan,OPV1,above 1year,2,1,0,0,,,0,0,0,,0,31,0,0,0
2007,Jan,OPV2,under 1 year,66,29,19,50,,,17,58,10,,17,0,20,15,17
2007,Jan,OPV2,above 1year,0,0,0,0,,,1,0,0,,0,60,0,0,0
2007,Jan,OPV3,under 1 year,37,30,21,38,,,16,45,14,,5,0,0,10,15
2007,Jan,OPV3,above 1year,0,0,2,0,,,0,2,0,,0,23,11,0,0
2007,Jan,MEASLES,under 1 year,31,19,16,46,,,22,54,6,,3,100,2,3,18
2007,Jan,MEASLES,above 1year,7,8,0,0,,,2,2,0,,0,0,0,0,0
2007,Jan,Yellow Fever,under 1 year,0,0,0,0,,,0,0,0,,0,0,0,0,0
2007,Jan,Yellow Fever,above 1year,0,0,0,0,,,0,0,0,,0,0,0,0,0
2007,Jan,Fully Immunized child (FIC),under 1 year,32,19,16,0,,,25,54,6,,3,100,0,3,18
2007,Jan,Fully Immunized child (FIC),above 1year,3,8,0,0,,,2,2,0,,0,0,3,0,0
2007,Jan,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),1st dose,52,28,4,32,,,4,62,0,,17,21,2,3,25
2007,Jan,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),2nd dose,39,12,3,14,,,4,10,5,,3,10,2,3,9
2007,Jan,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),3rd dose,5,0,3,0,,,5,10,0,,1,6,9,5,11
2007,Jan,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),4th dose,,,,,,,0,,,,,,,,
2007,Jan,Tetanus Toxoid for women of Child bearing age (15-49 Yrs),5th dose,,,,,,,0,,,,,,,,
2007,Jan,VITAMIN A,"under 1 year(100,000 iu)",25,4,0,3,,,0,0,0,,1,0,0,15,0
2007,Jan,VITAMIN A,"above 1year(200,000 iu)",4,1,0,0,,,0,0,0,,0,0,0,24,0
2007,Jan,VITAMIN A,"lactating mothers(200,000 iu)",63,6,0,0,,,0,0,0,,10,0,0,7,0
2007,Feb,BCG,under 1 year,74,18,24,25,,,17,45,30,,6,51,7,5,10
2007,Feb,BCG,above 1year,2,1,0,0,,,0,0,0,,0,2,0,0,0
2007,Feb,DPT/Hep/B/Hib 1,under 1 year,48,20,16,43,,,31,67,3,,12,54,12,3,12
2007,Feb,DPT/Hep/B/Hib 1,above 1year,2,1,0,0,,,0,0,0,,0,1,0,0,0
2007,Feb,DPT/Hep/B/Hib 2,under 1 year,33,28,24,36,,,16,86,6,,15,91,12,8,11
2007,Feb,DPT/Hep/B/Hib 2,above 1year,0,0,0,0,,,0,0,0,,0,2,0,0,0
