Year,Month,Antigen,Doses,THARAKA DIST HOSP,NKODI DISP,KANYURU DISP,GATUNGA MISSION,KIBUNGA H/C,RUUNGU EAPC DISP,KATHANGACINI DISP,MUKOTHIMA H/C,THANANTU CLINIC,GACIONGO DISP,CHIAKARIGA H/C ,ST. ORSOLA HOSP,MATERI GIRLS ,KAMANYAKI DISP,TUNYAI DISP,
2007,Jan,BCG,a)Doses in stock at the beginning of the month,440,100,100,160,,80,160,40,160,,20,160,100,0,40,
2007,Jan,BCG,b)Doses received within the month,80,200,100,200,,20,0,200,0,,240,400,400,100,100,
2007,Jan,BCG,c) Total doses stocked in the month=A+B,520,300,200,360,0,100,160,240,160,0,260,560,500,100,140,
2007,Jan,BCG,d)Doses remaining at the end of the month,40,220,100,100,,40,0,80,120,,0,460,440,60,0,
2007,Jan,BCG,e)Doses used in the month=C-D,480,80,100,260,0,60,160,160,40,0,260,100,60,40,140,
2007,Jan,BCG,f)Number of children vaccinated during the month,70,23,24,34,,7,33,98,30,,17,75,13,5,20,
2007,Jan,BCG,g)Doses wasted in the month=E-F,410,57,76,226,0,53,127,62,10,0,243,25,47,35,120,
2007,Jan,BCG,h)wastage rate in the month=[G/E]x100,85.41666667,71.25,76,86.92307692,#DIV/0!,88.33333333,79.375,38.75,25,#DIV/0!,93.46153846,25,78.33333333,87.5,85.71428571,
2007,Jan,OPV,a)Doses in stock at the beginning of the month,260,120,0,60,,60,100,140,60,,20,20,56,40,60,
2007,Jan,OPV,b)Doses received within the month,100,200,200,400,,40,0,200,100,,100,500,400,100,100,
2007,Jan,OPV,c) Total doses stocked in the month=A+B,360,320,200,460,0,100,100,340,160,0,120,520,456,140,160,
2007,Jan,OPV,d)Doses remaining at the end of the month,100,140,120,260,,60,0,50,120,,80,180,405,107,80,
2007,Jan,OPV,e)Doses used in the mont=C-D,260,180,80,200,0,40,100,290,40,0,40,340,51,33,80,
2007,Jan,OPV,f)Number of children vaccinated during the month,209,101,69,139,,29,58,206,34,,46,248,51,33,56,
2007,Jan,OPV,g)Doses wasted in the month=E-F,51,79,11,61,0,11,42,84,6,0,-6,92,0,0,24,
2007,Jan,OPV,h)wastage rate in the month=[G/E]x100,19.61538462,43.88888889,13.75,30.5,#DIV/0!,27.5,42,28.96551724,15,#DIV/0!,-15,27.05882353,0,0,30,
2007,Jan,MEASLES,a)Doses in stock at the beginning of the month,260,40,100,390,,40,470,400,100,,170,470,140,50,30,
2007,Jan,MEASLES,b)Doses received within the month,70,100,0,0,,70,0,0,0,,0,200,400,0,50,
2007,Jan,MEASLES,c) Total doses stocked in the month=A+B,330,140,100,390,0,110,470,400,100,0,170,670,540,50,80,
2007,Jan,MEASLES,d)Doses remaining at the end of the month,120,70,70,280,,70,390,290,90,,150,270,530,20,0,
2007,Jan,MEASLES,e)Doses used in the mont=C-D,210,70,30,110,0,40,80,110,10,0,20,122,10,30,80,
2007,Jan,MEASLES,f)Number of children vaccinated during the month,38,27,16,46,,5,22,56,6,,3,278,2,3,18,
2007,Jan,MEASLES,g)Doses wasted in the month=E-F,172,43,14,64,0,35,58,54,4,0,17,-156,8,27,62,
2007,Jan,MEASLES,h)wastage rate in the month=[G/E]x100,81.9047619,61.42857143,46.66666667,58.18181818,#DIV/0!,87.5,72.5,49.09090909,40,#DIV/0!,85,-127.8688525,80,90,77.5,
2007,Jan,DPT/HIB/HEP B,a)Doses in stock at the beginning of the month,194,92,0,230,,18,200,82,44,,60,326,53,42,115,
2007,Jan,DPT/HIB/HEP B,b)Doses received within the month,0,80,100,0,,54,0,400,0,,40,400,200,80,0,
2007,Jan,DPT/HIB/HEP B,c) Total doses stocked in the month=A+B,194,172,100,230,0,72,200,482,44,0,100,726,253,122,115,
2007,Jan,DPT/HIB/HEP B,d)Doses remaining at the end of the month,18,68,30,80,,40,120,264,30,,72,526,207,96,28,
2007,Jan,DPT/HIB/HEP B,e)Doses used in the mont=C-D,176,104,70,150,0,32,80,218,14,0,28,200,46,26,87,
2007,Jan,DPT/HIB/HEP B,f)Number of children vaccinated during the month,149,90,69,123,,29,75,195,10,,37,188,46,32,51,
2007,Jan,DPT/HIB/HEP B,g)Doses wasted in the month=E-F,27,14,1,27,0,3,5,23,4,0,-9,12,0,-6,36,
2007,Jan,DPT/HIB/HEP B,h)wastage rate in the month=[G/E]x100,15.34090909,13.46153846,1.428571429,18,#DIV/0!,9.375,6.25,10.55045872,28.57142857,#DIV/0!,-32.14285714,6,0,-23.07692308,41.37931034,
2007,Jan,TT,a)Doses in stock at the beginning of the month,440,40,0,60,,80,280,600,40,,60,140,84,20,240,
2007,Jan,TT,b)Doses received within the month,200,200,100,400,,20,0,0,0,,100,240,100,100,0,
2007,Jan,TT,c) Total doses stocked in the month=A+B,640,240,100,460,0,100,280,600,40,0,160,380,184,120,240,
2007,Jan,TT,d)Doses remaining at the end of the month,220,120,60,280,,60,220,520,20,,100,190,170,109,100,
2007,Jan,TT,e)Doses used in the mont=C-D,420,120,40,180,0,40,60,80,20,0,60,190,14,11,140,
2007,Jan,TT,f)Number of children vaccinated during the month,167,40,10,46,,11,18,78,20,,46,42,14,11,68,
2007,Jan,TT,g)Doses wasted in the month=E-F,253,80,30,134,0,29,42,2,0,0,14,148,0,0,72,
2007,Jan,TT,h)wastage rate in the month=[G/E]x100,60.23809524,66.66666667,75,74.44444444,#DIV/0!,72.5,70,2.5,0,#DIV/0!,23.33333333,77.89473684,0,0,51.42857143,
2007,Feb,BCG,a)Doses in stock at the beginning of the month,100,220,0,100,,40,0,80,120,,0,460,420,60,0,
2007,Feb,BCG,b)Doses received within the month,320,0,100,280,,80,200,360,0,,200,200,0,0,140,
2007,Feb,BCG,c) Total doses stocked in the month=A+B,420,220,100,380,0,120,200,440,120,0,200,660,420,60,140,
2007,Feb,BCG,d)Doses remaining at the end of the month,40,140,0,280,,40,160,280,80,,160,440,400,0,60,
2007,Feb,BCG,e)Doses used in the month=C-D,380,80,100,100,0,80,40,160,40,0,40,220,20,60,80,
2007,Feb,BCG,f)Number of children vaccinated during the month,76,16,24,25,,13,17,45,30,,6,68,7,5,10,
2007,Feb,BCG,g)Doses wasted in the month=E-F,304,64,76,75,0,67,23,115,10,0,34,152,13,55,70,
2007,Feb,BCG,h)wastage rate in the month=[G/E]x100,80,80,76,75,#DIV/0!,83.75,57.5,71.875,25,#DIV/0!,85,69.09090909,65,91.66666667,87.5,
2007,Feb,OPV,a)Doses in stock at the beginning of the month,80,140,120,280,,40,0,50,100,,100,340,403,107,80,
2007,Feb,OPV,b)Doses received within the month,420,100,0,420,,100,200,400,0,,0,0,0,0,100,
2007,Feb,OPV,c) Total doses stocked in the month=A+B,500,240,120,700,0,140,200,450,100,0,100,340,403,107,180,
2007,Feb,OPV,d)Doses remaining at the end of the month,300,120,60,260,,80,100,60,80,,40,20,361,60,100,
2007,Feb,OPV,e)Doses used in the mont=C-D,200,120,60,440,0,60,100,390,20,0,60,320,42,47,80,
2007,Feb,OPV,f)Number of children vaccinated during the month,187,85,59,146,,29,42,228,13,,44,206,42,31,46,
2007,Feb,OPV,g)Doses wasted in the month=E-F,13,35,1,294,0,31,58,162,7,0,16,114,0,16,34,
2007,Feb,OPV,h)wastage rate in the month=[G/E]x100,6.5,29.16666667,1.666666667,66.81818182,#DIV/0!,51.66666667,58,41.53846154,35,#DIV/0!,26.66666667,35.625,0,34.04255319,42.5,
2007,Feb,MEASLES,a)Doses in stock at the beginning of the month,170,70,70,280,,70,390,290,80,,180,270,520,20,0,
2007,Feb,MEASLES,b)Doses received within the month,30,100,0,0,,0,0,100,0,,0,200,0,0,80,
2007,Feb,MEASLES,c) Total doses stocked in the month=A+B,200,170,70,280,0,70,390,390,80,0,180,470,520,20,80,
2007,Feb,MEASLES,d)Doses remaining at the end of the month,30,90,20,230,,20,320,260,60,,150,290,500,0,30,
2007,Feb,MEASLES,e)Doses used in the mont=C-D,170,80,50,50,0,50,70,130,20,0,30,180,20,20,50,
2007,Feb,MEASLES,f)Number of children vaccinated during the month,55,12,20,49,,5,10,40,17,,5,135,11,5,11,
2007,Feb,MEASLES,g)Doses wasted in the month=E-F,115,68,30,1,0,45,60,90,3,0,25,45,9,15,39,
2007,Feb,MEASLES,h)wastage rate in the month=[G/E]x100,67.64705882,85,60,2,#DIV/0!,90,85.71428571,69.23076923,15,#DIV/0!,83.33333333,25,45,75,78,
2007,Feb,DPT/HIB/HEP B,a)Doses in stock at the beginning of the month,28,68,30,80,,40,120,264,16,,132,526,207,96,24,
2007,Feb,DPT/HIB/HEP B,b)Doses received within the month,300,100,50,200,,30,200,400,26,,400,0,100,0,88,
2007,Feb,DPT/HIB/HEP B,c) Total doses stocked in the month=A+B,328,168,80,280,0,70,320,664,42,0,532,526,307,96,112,
2007,Feb,DPT/HIB/HEP B,d)Doses remaining at the end of the month,166,90,21,94,,24,240,400,26,,490,232,262,46,60,
2007,Feb,DPT/HIB/HEP B,e)Doses used in the mont=C-D,162,78,59,186,0,46,80,264,16,0,42,294,45,50,52,
2007,Feb,DPT/HIB/HEP B,f)Number of children vaccinated during the month,126,83,59,139,,29,59,208,13,,39,249,42,31,35,
2007,Feb,DPT/HIB/HEP B,g)Doses wasted in the month=E-F,36,-5,0,47,0,17,21,56,3,0,3,45,3,19,17,
2007,Feb,DPT/HIB/HEP B,h)wastage rate in the month=[G/E]x100,22.22222222,-6.41025641,0,25.2688172,#DIV/0!,36.95652174,26.25,21.21212121,18.75,#DIV/0!,7.142857143,15.30612245,6.666666667,38,32.69230769,
2007,Feb,TT,a)Doses in stock at the beginning of the month,360,120,60,280,,80,280,520,0,,120,180,169,119,80,
2007,Feb,TT,b)Doses received within the month,240,100,0,480,,0,0,0,100,,0,0,0,0,160,
2007,Feb,TT,c) Total doses stocked in the month=A+B,600,220,60,760,0,80,280,520,100,0,120,180,169,119,240,
2007,Feb,TT,d)Doses remaining at the end of the month,400,100,0,340,,40,240,400,60,,80,40,158,100,200,
2007,Feb,TT,e)Doses used in the mont=C-D,200,120,60,420,0,40,40,120,40,0,40,140,11,19,40,
2007,Feb,TT,f)Number of children vaccinated during the month,175,45,24,90,,7,11,101,30,,49,70,11,5,36,
2007,Feb,TT,g)Doses wasted in the month=E-F,25,75,36,330,0,33,29,19,10,0,-9,70,0,14,4,
2007,Feb,TT,h)wastage rate in the month=[G/E]x100,12.5,62.5,60,78.57142857,#DIV/0!,82.5,72.5,15.83333333,25,#DIV/0!,-22.5,50,0,73.68421053,10,
2007,Mar,BCG,a)Doses in stock at the beginning of the month,40,140,60,280,,40,160,240,80,,100,440,400,0,40,
2007,Mar,BCG,b)Doses received within the month,120,0,0,100,,60,0,80,0,,0,100,0,0,0,
2007,Mar,BCG,c) Total doses stocked in the month=A+B,160,140,60,380,0,100,160,320,80,0,100,540,400,0,40,
2007,Mar,BCG,d)Doses remaining at the end of the month,0,80,0,240,,20,0,220,80,,0,340,380,0,0,
2007,Mar,BCG,e)Doses used in the month=C-D,160,60,60,140,0,80,160,100,0,0,100,200,20,0,40,
2007,Mar,BCG,f)Number of children vaccinated during the month,119,20,10,33,,13,31,77,0,,8,109,4,0,3,
2007,Mar,BCG,g)Doses wasted in the month=E-F,41,40,50,107,0,67,129,23,0,0,92,91,16,0,37,
2007,Mar,BCG,h)wastage rate in the month=[G/E]x100,25.625,66.66666667,83.33333333,76.42857143,#DIV/0!,83.75,80.625,23,#DIV/0!,#DIV/0!,92,45.5,80,#DIV/0!,92.5,
2007,Mar,OPV,a)Doses in stock at the beginning of the month,280,200,80,260,,60,100,140,80,,60,20,361,60,100,
2007,Mar,OPV,b)Doses received within the month,140,0,0,200,,80,0,500,0,,0,660,0,0,80,
2007,Mar,OPV,c) Total doses stocked in the month=A+B,420,200,80,460,0,140,100,640,80,0,60,680,361,60,180,
2007,Mar,OPV,d)Doses remaining at the end of the month,200,120,0,140,,100,20,380,60,,20,60,318,41,0,
2007,Mar,OPV,e)Doses used in the mont=C-D,220,80,80,320,0,40,80,260,20,0,40,620,43,19,180,
2007,Mar,OPV,f)Number of children vaccinated during the month,210,87,73,134,,36,65,235,18,,30,282,43,19,28,
2007,Mar,OPV,g)Doses wasted in the month=E-F,10,-7,7,186,0,4,15,25,2,0,10,338,0,0,152,
2007,Mar,OPV,h)wastage rate in the month=[G/E]x100,4.545454545,-8.75,8.75,58.125,#DIV/0!,10,18.75,9.615384615,10,#DIV/0!,25,54.51612903,0,0,84.44444444,
2007,Mar,MEASLES,a)Doses in stock at the beginning of the month,30,90,60,220,,30,320,250,60,,140,290,500,0,30,
2007,Mar,MEASLES,b)Doses received within the month,240,200,0,0,,50,0,0,0,,0,200,0,0,50,
2007,Mar,MEASLES,c) Total doses stocked in the month=A+B,270,290,60,220,0,80,320,250,60,0,140,490,500,0,80,
2007,Mar,MEASLES,d)Doses remaining at the end of the month,110,200,0,120,,50,280,150,40,,110,180,470,0,0,
2007,Mar,MEASLES,e)Doses used in the mont=C-D,160,90,60,100,0,30,40,100,20,0,30,310,30,0,80,
2007,Mar,MEASLES,f)Number of children vaccinated during the month,32,40,29,54,,3,19,75,13,,3,150,10,0,15,
2007,Mar,MEASLES,g)Doses wasted in the month=E-F,128,50,31,46,0,27,21,25,7,0,27,160,20,0,65,
2007,Mar,MEASLES,h)wastage rate in the month=[G/E]x100,80,55.55555556,51.66666667,46,#DIV/0!,90,52.5,25,35,#DIV/0!,90,51.61290323,66.66666667,#DIV/0!,81.25,
2007,Mar,DPT/HIB/HEP B,a)Doses in stock at the beginning of the month,146,90,100,140,,42,240,278,26,,492,232,365,46,60,
2007,Mar,DPT/HIB/HEP B,b)Doses received within the month,200,200,0,200,,30,0,200,0,,0,400,0,0,60,
2007,Mar,DPT/HIB/HEP B,c) Total doses stocked in the month=A+B,346,290,100,340,0,72,240,478,26,0,492,632,365,46,120,
2007,Mar,DPT/HIB/HEP B,d)Doses remaining at the end of the month,234,204,37,210,,26,140,272,0,,470,400,330,28,68,
2007,Mar,DPT/HIB/HEP B,e)Doses used in the mont=C-D,112,86,63,130,0,46,100,206,26,0,22,232,35,18,52,
2007,Mar,DPT/HIB/HEP B,f)Number of children vaccinated during the month,115,76,63,126,,36,42,218,18,,21,203,35,18,26,
2007,Mar,DPT/HIB/HEP B,g)Doses wasted in the month=E-F,-3,10,0,4,0,10,58,-12,8,0,1,29,0,0,26,
2007,Mar,DPT/HIB/HEP B,h)wastage rate in the month=[G/E]x100,-2.678571429,11.62790698,0,3.076923077,#DIV/0!,21.73913043,58,-5.825242718,30.76923077,#DIV/0!,4.545454545,12.5,0,0,50,
2007,Mar,TT,a)Doses in stock at the beginning of the month,400,100,0,340,,60,0,440,60,,60,40,158,100,200,
2007,Mar,TT,b)Doses received within the month,200,200,80,0,,40,0,0,0,,200,100,0,0,60,
2007,Mar,TT,c) Total doses stocked in the month=A+B,600,300,80,340,0,100,0,440,60,0,260,140,158,100,260,
2007,Mar,TT,d)Doses remaining at the end of the month,360,180,40,160,,60,0,330,40,,180,40,142,95,220,
