YEAR,No.,Facility,BCG < 1,BCG > 1,DPT/Hep B/HiB 1 < 1,DPT/Hep B/HiB 1 > 1,DPT/Hep B/HiB 2 < 1,DPT/Hep B/HiB 2 > 1,DPT/Hep B/HiB 3 < 1,DPT/Hep B/HiB 3 > 1,OPV Birth Dose,OPV Birth Dose1,OPV 1 < 1,OPV 1 > 1,OPV 2 <1,OPV 2 >1,OPV 3 <1,OPV 3 >1,Measles < 1,Measles > 1,Yellow Fever < 1,Yellow Fever > 1,Fully Immunized Child (FIC) < 1,Fully Immunized Child (FIC) > 1,TT1,TT2,TT3,TT4,TT5,Vitamin A > 1,Vitamin A > 11,Vitamin A Lactating Mothers
2004,1,Amani M. Cl,3,0,28,0,28,1,37,1,3,3,28,0,28,1,37,1,10,4,0,1,11,4,9,4,1,0,4,22,3,6
2004,2,Bamba H/C,622,24,565,7,585,5,602,11,201,201,473,119,638,4,618,23,455,25,0,0,427,21,347,289,56,40,138,325,155,77
2004,3,Bomani Dispensary,84,1,151,1,157,9,161,7,59,59,115,1,124,9,122,8,65,5,0,0,65,5,5,2,0,0,0,59,26,21
2004,5,Chasimba H/c,323,2,323,0,250,0,209,1,67,67,358,17,339,20,321,14,230,45,0,0,216,42,261,186,31,1,1,331,973,9
2004,6,Chumani m. cl,103,0,100,0,113,1,85,3,43,43,96,0,99,1,86,0,57,0,0,0,57,1,58,48,11,0,0,20,15,0
2004,7,Dida Disp,132,2,151,0,178,0,195,1,80,80,172,0,181,0,170,0,119,2,0,0,119,1,180,108,14,1,1,147,200,109
2004,8,Ganze Disp,347,1,226,0,143,0,140,1,131,131,354,2,347,1,350,1,264,15,0,0,257,15,240,177,4,0,0,264,12,91
2004,10,Jaribuni Disp,143,1,146,0,132,0,110,0,53,53,153,0,142,0,95,0,68,27,0,0,59,36,23,37,9,8,7,45,14,1
2004,12,Junju Disp,130,0,123,0,118,1,82,2,51,51,144,0,148,0,119,0,66,7,0,0,66,7,20,0,0,0,53,43,14,0
2004,13,Kilifi D. Hospital,"1,706",2,"1,357",0,"1,207",0,"1,110",0,738,738,"1,349",1,"1,211",0,"1,137",1,"1,154",9,0,0,"1,145",9,775,612,268,117,0,"1,027","1,449",726
2004,14,Kizingo Disp,196,0,176,0,174,0,186,0,85,85,197,0,179,0,203,0,213,0,0,0,213,0,121,85,0,0,0,211,2,0
2004,17,Maamba m. cl,73,1,62,0,65,0,49,3,33,33,82,0,72,0,83,3,84,4,0,0,82,4,9,7,3,2,1,30,11,0
2004,20,Matsangoni Disp,307,1,327,2,330,0,298,2,149,149,339,3,363,0,368,2,296,15,0,0,284,14,263,137,6,4,0,299,544,305
2004,22,Mryachakwe,80,4,61,2,56,2,54,3,35,35,66,2,106,4,89,2,104,11,0,0,97,8,162,94,72,10,0,57,214,18
2004,23,Mtepeni Disp,63,0,75,1,61,0,52,1,50,50,78,0,51,0,57,1,41,12,0,0,31,12,35,58,32,19,2,25,99,28
2004,24,Mtwapa Disp,334,2,362,1,324,5,313,2,190,190,346,16,324,14,353,5,339,17,0,0,334,9,150,94,35,20,7,201,246,116
2004,26,Ngerenya Disp,193,1,261,1,233,4,213,3,61,61,232,6,268,2,276,2,180,15,0,0,183,11,42,49,23,12,0,281,236,0
