LocationId,LocationName,DivisionId
1,"Amaiya",3
2,"Angata Nanyukie",2
3,"Arsim",4
4,"Baawa",3
5,"Baragoi",1
6,"Barsaloi",2
7,"Elbarta",1
8,"Kawop",4
9,"Kiromon",3
10,"Kisima",3
11,"Latakweny",1
12,"Lbukoi",2
13,"Lodokejek",3
14,"Lodongokwe",5
15,"Loosuk",2
16,"Maralal Town",2
17,"Marti",1
18,"Nachola",1
19,"Nairimirimo",5
20,"Ndoto",1
21,"Ngaroni",5
22,"Ngilai",5
23,"Opiroi",2
24,"Parkati",4
25,"Poro",2
26,"Sereolipi",6
27,"Sirata-Oirobi",2
28,"South Horr",4
29,"Suguta Marmar",3
30,"Suyan",1
31,"Tuum",4
32,"Uaso Rongai",4
33,"Wamba",5
34,"Waso East",6
35,"Waso West",6
