SubLocationId,SubLocationName,LocationId,Land_km2,Male,Female,TotalPopulation,HouseHolds,Density,PersonsPerHH,DomesticWaterDemandM3PerDay,LivestockWaterDemandM3PerDay,GrowthRateCorrection,CorrectedTotalPopulation
1,"Amaiya",1,36.9,319,340,659,148,17.8590785907859,4.4527027027027,9.885,19.77,1.24,817
2,"Angata Nanyukie",2,59.3,605,623,1228,267,20.70826306914,4.59925093632959,18.42,36.84,1.24,1523
3,"Archers Post",34,299.2,1971,1995,3966,910,13.2553475935829,4.35824175824176,59.49,118.98,1.24,4918
4,"Arsim",3,121.7,451,510,961,233,7.89646672144618,4.1244635193133,14.415,28.83,1.24,1192
5,"Baawa",4,47.5,653,743,1396,298,29.3894736842105,4.68456375838926,20.94,41.88,1.24,1731
6,"Baragoi",5,4.8,1301,1440,2741,585,571.041666666667,4.68547008547009,41.115,82.23,1.24,3399
7,"Barsaloi",6,57.7,226,146,372,80,6.4471403812825,4.65,5.58,11.16,1.24,461
8,"Bendera",5,5.4,620,645,1265,245,234.259259259259,5.16326530612245,18.975,37.95,1.24,1569
9,"Garma",9,42.6,501,725,1226,300,28.7793427230047,4.08666666666667,18.39,36.78,1.24,1520
10,"Golgotim",22,515.1,767,813,1580,374,3.06736556008542,4.22459893048128,23.7,47.4,1.24,1959
11,"Ijuuk",31,109.1,320,113,433,90,3.96883593033914,4.81111111111111,6.495,12.99,1.24,537
12,"Illaut",3,116.5,197,264,461,124,3.95708154506438,3.71774193548387,6.915,13.83,1.24,572
13,"Kalele",17,356.5,499,451,950,150,2.66479663394109,6.33333333333333,14.25,28.5,1.24,1178
14,"Kirimon",9,54.6,480,601,1081,257,19.7985347985348,4.20622568093385,16.215,32.43,1.24,1340
15,"Koiting",33,285.6,425,489,914,236,3.20028011204482,3.8728813559322,13.71,27.42,1.24,1133
16,"Laresoro",34,743.1,277,366,643,165,0.865294038487418,3.8969696969697,9.645,19.29,1.24,797
17,"Latakweny",11,239.9,601,696,1297,321,5.40641934139225,4.0404984423676,19.455,38.91,1.24,1608
18,"Lbukoi",12,128.3,405,513,918,231,7.15510522213562,3.97402597402597,13.77,27.54,1.24,1138
19,"Ledero",16,26.5,656,767,1423,321,53.6981132075472,4.43302180685358,21.345,42.69,1.24,1765
20,"Lemisigiyo",27,22.4,372,421,793,171,35.4017857142857,4.6374269005848,11.895,23.79,1.24,983
21,"Lengei",14,89.9,57,85,142,44,1.57953281423804,3.22727272727273,2.13,4.26,1.24,176
22,"Lenkusaka",35,99.2,96,171,267,72,2.69153225806452,3.70833333333333,4.005,8.01,1.24,331
23,"Lerata",34,333.6,168,147,315,80,0.944244604316547,3.9375,4.725,9.45,1.24,391
24,"Lesirikan",20,280.7,863,752,1615,365,5.75347345920912,4.42465753424658,24.225,48.45,1.24,2003
25,"Lkayo",24,96.5,830,719,1549,279,16.0518134715026,5.55197132616487,23.235,46.47,1.24,1921
26,"Lkiloriti",4,82.1,650,750,1400,307,17.0523751522534,4.56026058631922,21,42,1.24,1736
27,"Lkisin",22,144.5,493,767,1260,342,8.719723183391,3.68421052631579,18.9,37.8,1.24,1562
28,"Lkotikal",32,95.3,299,114,413,105,4.33368310598111,3.93333333333333,6.195,12.39,1.24,512
29,"Lkuroto",16,22.1,1315,1245,2560,578,115.837104072398,4.42906574394464,38.4,76.8,1.24,3174
30,"Lmarmaroi",19,113.4,152,259,411,120,3.62433862433862,3.425,6.165,12.33,1.24,510
31,"Lmisigiyoi",10,49,1200,1362,2562,531,52.2857142857143,4.82485875706215,38.43,76.86,1.24,3177
32,"Lodokejek",13,109.6,810,992,1802,409,16.4416058394161,4.40586797066015,27.03,54.06,1.24,2234
33,"Lodua",20,157.7,490,613,1103,272,6.99429296131896,4.05514705882353,16.545,33.09,1.24,1368
34,"Logorate",29,71.2,710,844,1554,347,21.8258426966292,4.47838616714697,23.31,46.62,1.24,1927
35,"Loibashai",2,154,277,26,303,60,1.96753246753247,5.05,4.545,9.09,1.24,376
36,"Loikumkum",11,454.2,559,670,1229,332,2.70585645090269,3.70180722891566,18.435,36.87,1.24,1524
37,"Lokorkor",17,164.3,475,461,936,152,5.69689592209373,6.15789473684211,14.04,28.08,1.24,1161
38,"Lolmolog",29,186,999,1182,2181,475,11.7258064516129,4.59157894736842,32.715,65.43,1.24,2704
39,"Longatolia",10,50.4,669,835,1504,386,29.8412698412698,3.89637305699482,22.56,45.12,1.24,1865
40,"Longewan",1,87.7,836,899,1735,352,19.7833523375143,4.92897727272727,26.025,52.05,1.24,2151
41,"Lonjorin",28,273.7,451,427,878,236,3.20789185239313,3.72033898305085,13.17,26.34,1.24,1089
42,"Lonyangaten",8,384.6,1180,1410,2590,510,6.73426937077483,5.07843137254902,38.85,77.7,1.24,3212
43,"Loosuk",15,144.7,817,1012,1829,409,12.6399447131997,4.4718826405868,27.435,54.87,1.24,2268
44,"Lorok Lolmongo",23,93.9,550,331,881,195,9.38232161874334,4.51794871794872,13.215,26.43,1.24,1092
45,"Lorok Onyokie",19,443.9,596,713,1309,308,2.94886235638657,4.25,19.635,39.27,1.24,1623
46,"Losesia",34,1123.9,324,55,379,70,0.337218613755672,5.41428571428571,5.685,11.37,1.24,470
47,"Losurkoi",8,361.4,219,210,429,69,1.18705035971223,6.21739130434783,6.435,12.87,1.24,532
48,"Lpartuk",16,42.1,1202,1253,2455,510,58.313539192399,4.81372549019608,36.825,73.65,1.24,3044
49,"Lpashie",33,106.9,349,493,842,200,7.87652011225444,4.21,12.63,25.26,1.24,1044
50,"Lpus",14,132,334,451,785,214,5.9469696969697,3.66822429906542,11.775,23.55,1.24,973
51,"Lpus Leluai",35,136.7,389,539,928,270,6.7885881492319,3.43703703703704,13.92,27.84,1.24,1151
52,"Ltirimin",14,71.4,222,322,544,149,7.61904761904762,3.6510067114094,8.16,16.32,1.24,675
53,"Lulu",6,115.2,385,386,771,185,6.69270833333333,4.16756756756757,11.565,23.13,1.24,956
54,"Mabati",23,126.3,512,548,1060,243,8.39271575613618,4.36213991769547,15.9,31.8,1.24,1314
55,"Malaso",15,55.7,597,631,1228,275,22.0466786355476,4.46545454545455,18.42,36.84,1.24,1523
56,"Malaso",25,128.9,253,220,473,107,3.66951124903026,4.42056074766355,7.095,14.19,1.24,587
57,"Maralal Town",16,27.2,3325,3206,6531,1766,240.110294117647,3.69818799546999,97.965,195.93,1.24,8098
58,"Marti",30,310.3,269,153,422,91,1.35997421849823,4.63736263736264,6.33,12.66,1.24,523
59,"Masikita",7,482.2,569,594,1163,262,2.41186229780174,4.43893129770992,17.445,34.89,1.24,1442
60,"Matakwani",33,340.6,1060,1215,2275,563,6.6793893129771,4.04085257548845,34.125,68.25,1.24,2821
