Month,DISEASES,THARAKA DIST HOSP,RUUNGU DISP MISSION,NKONDI DISP GOK,JOSAN DISP PRIVATE,GATUNGA DISP MISSION,KIBUNGA H/C,KANYURU DISP GOK,SUB-TOTAL,KATHANGACINI DISP,MUKOTHIMA HC MISSION,KAGENI DISP PRIVATE,GACIONGO DISP GOK,THANANTU DISP NGO,SUB-TOTAL,CHIAKARIGA HC GOK,ST ORSOLA HOSP MISSION,TUNYAI DISP GOK,MATERI GIRLS DISP MISSION,KAMANYAKI DISP GOK,SUB-TOTAL,GRAND TOTAL,
JAN,Diarhoheal Diseases,26,0,21,6,14,,6,73,12,34,7,,6,59,107,15,47,10,5,184,316,
JAN,Tuberculosis,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
JAN,Leprosy,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
JAN,Whoopng Cough,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
JAN,Meningitis,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
JAN,Tetenus,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
JAN,Poliomyelitis,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
JAN,chicken Pox,5,0,15,0,0,,0,20,0,0,1,,0,1,3,3,2,,2,10,31,
JAN,Measles,0,0,0,1,,,1,2,0,0,0,,0,0,0,0,0,0,0,0,2,
JAN,Infections Hepatitis,0,0,0,0,0,,0,0,0,0,0,,0,0,0,3,0,0,0,3,3,
JAN,Mumps,0,0,0,0,0,,2,2,0,0,1,,0,1,3,0,0,0,0,3,6,
JAN,Malaria,760,42,1261,90,315,,657,3125,290,234,180,,77,781,1433,496,880,161,656,3626,7532,
JAN,Gonorrhea,0,0,0,0,0,,0,0,3,2,3,,0,8,0,0,5,0,0,5,13,
JAN,Urinary Tract Infections,16,1,16,6,10,,19,68,4,7,11,,2,24,13,30,25,1,,69,161,
JAN,Bilharzia,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
JAN,Intestinal Worms,56,26,227,10,107,,113,539,29,92,47,,21,189,203,209,130,20,102,664,1392,
JAN,Malnutrition,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,3,0,0,3,3,
JAN,Anaemia,3,0,0,0,0,,0,3,0,2,0,,0,2,0,3,0,0,0,3,8,
JAN,Eye Infections,12,0,21,3,13,,14,63,7,13,4,,3,27,16,10,53,3,,82,172,
JAN,Cataract,0,0,0,0,0,,0,0,0,0,0,,0,0,3,0,0,0,0,3,3,
JAN,ear infectins,34,1,49,5,17,,14,120,8,12,11,,8,39,67,40,40,2,2,151,310,
JAN,Dis. Of circulatory systems,0,0,0,0,0,,0,0,0,0,0,,0,0,3,0,0,0,0,3,3,
JAN,Dis of Respiratory systems,734,5,715,77,121,,230,1882,138,79,52,,15,284,522,488,345,68,330,1753,3919,
JAN,Pneumonia,23,4,1,2,0,,0,30,4,15,4,,8,31,127,18,108,8,,261,322,
JAN,Abortion,3,0,0,0,0,,0,3,0,0,0,,0,0,0,1,3,0,0,4,7,
JAN,Dis. Of peuperium & child birth,1,0,0,0,0,,0,1,1,0,0,,0,1,1,1,15,0,0,17,19,
JAN,Neoplasms,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
JAN,Dis. Of blood & blood forming organs,0,0,0,0,0,,0,0,0,0,0,,0,0,1,0,0,0,0,1,1,
JAN,mental Disorders,4,0,3,0,0,,0,7,0,0,0,,0,0,7,0,0,0,0,7,14,
JAN,Dental disorders,5,1,9,4,10,,16,45,8,0,12,,2,22,1,5,14,1,,21,88,
