Month,DISEASES,THARAKA DIST HOSP,NKONDI DISP GOK,JOSAN DISP PRIVATE,GATUNGA DISP MISSION,KIBUNGA H/C,SUNSHINE CLINIC,KANYURU DISP GOK,SUB-TOTAL,KATHANGACINI DISP,MUKOTHIMA HC MISSION,KAGENI DISP PRIVATE,GACIONGO DISP GOK,KAMWATHU,MUGAS CLINIC,THANANTU DISP NGO,SUB-TOTAL,CHIAKARIGA HC GOK,ST ORSOLA HOSP MISSION,TUNYAI DISP GOK,MATERI GIRLS DISP MISSION,KAMANYAKI DISP GOK,SUB-TOTAL,GRAND TOTAL,
JAN,Diarhoheal Diseases,47,4,13,3,29,0,5,101,16,51,13,46,0,0,4,130,86,27,27,1,1,142,373,
JAN,Tuberculosis,,0,,,2,0,,2,,,,,0,0,,0,,2,,,,2,4,
JAN,Leprosy,,0,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
JAN,Whoopng Cough,,0,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
JAN,Meningitis,,0,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
JAN,Tetenus,,0,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
JAN,Poliomyelitis,,0,,,,0,,0,,,,,0,0,,0,,,,,,0,0,
JAN,chicken Pox,,0,,,2,0,,2,2,,,5,0,0,,7,,,2,,2,4,13,
JAN,Measles,,2,,3,1,0,2,8,,,,,0,0,,0,,1,0,,,1,9,
JAN,Infections Hepatitis,,0,,,,0,,0,,,,,0,0,,0,,0,0,,,0,0,
JAN,Mumps,,11,6,,4,0,2,23,3,,1,,0,0,,4,7,2,5,,,14,41,
JAN,Malaria,523,448,88,232,556,0,521,2368,131,153,271,405,0,0,79,1039,874,241,428,122,365,2030,5437,
JAN,Gonorrhea,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,5,0,8,0,0,0,8,14,
JAN,Urinary Tract Infections,19,6,2,21,9,0,7,64,11,17,10,0,0,0,3,41,15,27,6,0,5,53,158,
JAN,Bilharzia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JAN,Intestinal Worms,31,141,16,94,204,0,134,620,53,36,51,198,0,0,23,361,177,141,66,20,143,547,1528,
JAN,Malnutrition,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,4,0,2,0,0,0,2,7,
JAN,Anaemia,6,0,0,0,0,0,0,6,5,8,2,0,0,0,0,15,3,3,11,0,0,17,38,
JAN,Eye Infections,17,9,0,2,26,0,2,56,18,24,2,11,0,0,5,60,11,25,8,3,8,55,171,
JAN,Cataract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,
JAN,ear infectins,9,6,6,20,34,0,18,93,22,8,4,34,0,0,0,68,43,36,26,3,5,113,274,
